iatacode,name,country,city,province,latitude,longitude,elevation,gmtoffset
HEA,Herat,AFG,Herat,Afghanistan,34.210017,62.2283,977,5
KBL,Kabul Intl,AFG,Kabul,Afghanistan,34.565853,69.212328,1792,5
TIA,Tirana Rinas,AL,Tirana,Albania,41.414742,19.720561,38,1
TEE,Cheikh Larbi Tebessi,DZ,Tébessa,Algeria,35.431611,8.120717,811,1
BLJ,Batna Airport,DZ,Batna,Algeria,35.752106,6.308589,822,1
BJA,Soummam,DZ,Bejaïa,Algeria,36.711997,5.069922,6,1
TMR,Tamanrasset,DZ,Tamanrasset,Algeria,22.811461,5.451075,1377,1
BSK,Biskra,DZ,Biskra,Algeria,34.793289,5.738231,88,1
CZL,Mohamed Boudiaf Intl,DZ,Constantine,Algeria,36.276028,6.620386,691,1
QSF,Ain Arnat Airport,DZ,Sétif,Algeria,36.1781,5.32449,1024,1
ORN,Es Senia,DZ,Oran,Algeria,35.623858,-0.621183,90,1
GHA,Noumerat,DZ,Ghardaïa,Algeria,32.384106,3.794114,461,1
AAE,Annaba,DZ,Annaba,Algeria,36.822225,7.809167,5,1
ALG,Houari Boumediene,DZ,Algiers,Algeria,36.691014,3.215408,25,1
TLM,Zenata,DZ,Tlemcen,Algeria,35.016667,-1.45,248,1
PPG,Pago Pago Intl,AS,Pago Pago,American Samoa,-14.2794,-170.7006,10,-11
VPE,Ondjiva Pereira Airport,ANG,Ngiva,Cunene,-17.043464,15.683822,1087,1
SDD,Lubango,ANG,Lubango,Huíla,-14.924733,13.575022,1762,1
CAB,Cabinda,ANG,Cabinda,Cabinda,-5.596992,12.188353,20,1
SPP,Menongue,ANG,Menongue,Cuando Cubango,-14.657583,17.719833,1363,1
LAD,Luanda 4 De Fevereiro,ANG,Luanda,Luanda,-8.858375,13.231178,74,1
NOV,Huambo,ANG,Huambo,Huambo,-12.808878,15.760547,1703,1
AXA,Wallblake,AXA,The Valley,Anguilla,18.204834,-63.055084,39,-4
ANU,V C Bird Intl,AG,St. John's,Antigua and Barbuda,17.136749,-61.792667,19,-4
IRJ,La Rioja,RA,La Rioja,La Rioja,-29.381636,-66.795839,438,-3
JUJ,Jujuy,RA,San Salvador de Jujuy,Jujuy,-24.392778,-65.097778,920,-3
BHI,Comandante Espora,RA,Bahía Blanca,Buenos Aires,-38.724967,-62.169317,75,-3
TUC,Teniente Benjamin Matienzo,RA,San Miguel de Tucumán,Tucumán,-26.840861,-65.104944,456,-3
LUQ,San Luis,RA,San Luis,San Luis,-33.273192,-66.356422,710,-3
SDE,Santiago del Estero,RA,Santiago del Estero,Santiago de Estero,-27.765617,-64.310122,200,-3
SFN,Sauce Viejo,RA,Santa Fe,Santa Fe,-31.711666,-60.811668,17,-3
CNQ,Corrientes,RA,Corrientes,Corrientes,-27.445503,-58.761864,62,-3
NQN,Presidente Peron,RA,Neuquén,Neuquén,-38.949,-68.155711,273,-3
SLA,Salta,RA,Salta,Salta,-24.855978,-65.486169,1246,-3
AEP,Aeroparque Jorge Newbery,RA,Buenos Aires,Distrito Federal,-34.559175,-58.415606,5,-3
EZE,Ministro Pistarini,RA,Buenos Aires,Distrito Federal,-34.822222,-58.535833,20,-3
USH,Ushuaia Malvinas Argentinas,RA,Ushuaia,Tierra del Fuego,-54.843278,-68.29575,22,-3
FMA,Formosa,RA,Formosa,Formosa,-26.212722,-58.228111,59,-3
PSS,Posadas,RA,Posadas,Misiones,-27.385839,-55.970728,131,-3
ROS,Rosario,RA,Rosario,Santa Fe,-32.903611,-60.785,26,-3
RES,Resistencia,RA,Resistencia,Chaco,-27.449986,-59.056125,53,-3
RGL,Rio Gallegos,RA,Río Gallegos,Santa Cruz,-51.608875,-69.312636,19,-3
CRD,Comodoro Rivadavia,RA,Comodoro Rivadavia,Chubut,-45.785347,-67.465508,58,-3
MDQ,Mar Del Plata,RA,Mar del Plata,Buenos Aires,-37.934167,-57.573333,22,-3
MDZ,El Plumerillo,RA,Mendoza,Mendoza,-32.831717,-68.792856,704,-3
COR,Ambrosio L V Taravella,RA,Córdoba,Córdoba,-31.323619,-64.207953,489,-3
EVN,Zvartnots,ARM,Yerevan,Armenia,40.147275,44.395881,865,4
AUA,Reina Beatrix Intl,ARU,Oranjestad,Aruba,12.501389,-70.015221,18,-4
MEL,Melbourne Intl,AUS,Melbourne,Victoria,-37.673333,144.843333,132,10
SYD,Sydney Intl,AUS,Sydney,New South Wales,-33.946111,151.177222,6,10
CNS,Cairns Intl,AUS,Cairns,Queensland,-16.885833,145.755278,3,10
TSV,Townsville,AUS,Townsville,Queensland,-19.2525,146.765278,5,10
BNE,Brisbane Intl,AUS,Brisbane,Queensland,-27.384167,153.1175,4,10
CBR,Canberra,AUS,Canberra,Australia Capital Territory,-35.306944,149.195,575,10
ADL,Adelaide Intl,AUS,Adelaide,South Australia,-34.945,138.530556,6,9.5
NTL,Newcastle Airport,AUS,Newcastle,New South Wales,-32.78,151.83,9,10
DRW,Darwin Intl,AUS,Darwin,Northern Territory,-12.4083333,130.87266,31,9.5
PER,Perth Intl,AUS,Perth,Western Australia,-31.940278,115.966944,20,8
HBA,Hobart,AUS,Hobart,Tasmania,-42.836111,147.510278,4,10
SZG,Salzburg,A,Salzburg,Salzburg,47.793304,13.004333,430,1
LNZ,Linz,A,Linz,Oberösterreich,48.233219,14.187511,298,1
INN,Innsbruck,A,Innsbruck,Tirol,47.260219,11.343964,581,1
VIE,Schwechat,A,Wien,Wien,48.110278,16.569722,183,1
GRZ,Graz,A,Graz,Steiermark,46.991067,15.439628,340,1
KLU,Woerthersee International Airport,A,Klagenfurt,Kärnten,46.642514,14.337739,138,1
GYD,Heydar Aliyev,AZ,Baku,Azerbaijan,40.4675,50.046667,3,4
NAS,Lynden Pindling Intl,BS,Nassau,Bahamas,25.038958,-77.466231,5,-5
BAH,Bahrain Intl,BRN,Al Manāmah,Bahrain,26.270834,50.63361,2,3
DAC,Zia Intl,BD,Dhaka,Dhaka,23.843333,90.397781,9,6
CGP,Shah Amanat Intl,BD,Chittagong,Chittagong,22.249611,91.813286,4,6
BGI,Grantley Adams Intl,BDS,Bridgetown,Barbados,13.074603,-59.492456,52,-4
MSQ,Minsk National,BY,Minsk,Minsk City,53.882469,28.030731,204,3
ANR,Deurne,B,Antwerpen,Antwerpen,51.189444,4.460278,12,1
CRL,Brussels South,B,Charleroi,Hainaut,50.459197,4.453817,187,1
LGG,Aéroport de Liège,B,Liège,Liège,50.6375,5.4433,201,1
TNA,Jinan,CN,Jinan,Shandong,36.857214,117.215992,23,8
BRU,Brussels Natl,B,Bruxelles,Bruxelles,50.901389,4.484444,56,1
BZE,Philip S W Goldson Intl,BZ,Belize City,Belize,17.539144,-88.308203,5,-6
