country1,country2,length
AL,GR,282
AL,MK,151
AL,MNE,172
AL,KOS,112
GR,MK,228
GR,TR,206
AD,CY,156
MK,SRB,62
MNE,SRB,124
KOS,MNE,79
KOS,SRB,352
KOS,MK,159
AND,F,60
AND,E,65
F,I,488
F,L,73
F,MC,4.4
E,F,623
E,GBZ,1.2
E,P,1214
CZ,D,646
CZ,SK,215
CZ,PL,658
SK,UA,90
D,F,451
D,PL,456
D,L,138
D,NL,577
D,DK,68
H,SRB,151
H,SK,515
H,SLO,102
H,UA,103
H,HR,329
H,RO,443
I,SLO,235
I,V,3.2
I,RSM,39
CH,F,573
CH,D,334
CH,I,740
CH,FL,41
A,CZ,362
A,D,784
A,H,366
A,I,430
A,FL,37
A,SK,91
A,SLO,324
A,CH,164
EST,LV,267
EST,R,324
LV,R,332
LT,LV,453
LT,PL,91
LT,R,261
BY,LV,141
BY,LT,502
BY,PL,605
BY,UA,891
BY,R,1312
PL,SK,444
PL,UA,428
PL,R,209
R,UA,1944
R,SF,1309
B,F,620
B,D,167
B,L,148
B,NL,450
HR,SRB,241
HR,MNE,25
HR,SLO,546
BIH,SRB,357
BIH,MNE,249
BIH,HR,932
BG,GR,494
BG,MK,148
BG,SRB,318
BG,RO,608
BG,TR,240
RO,SRB,476
RO,UA,531
N,R,191
N,SF,729
N,S,1619
S,SF,586
CEU,MA,6.3
MD,UA,939
MD,RO,450
GB,IRL,360
ARM,TR,268
ARM,IR,35
ARM,GE,164
ARM,AZ,787
GE,R,894
GE,TR,252
AZ,R,338
AZ,TR,9
AZ,IR,611
AZ,GE,322
RL,SYR,375
GAZA,IL,51
IL,JOR,238
IL,SYR,76
IL,RL,79
IL,WB,307
SYR,TR,822
JOR,SA,728
JOR,SYR,375
JOR,WB,97
SA,UAE,457
SA,YE,1458
Q,SA,60
OM,SA,676
OM,UAE,410
OM,YE,288
KWT,SA,222
IRQ,TR,331
IRQ,JOR,181
IRQ,KWT,242
IRQ,SA,814
IRQ,SYR,605
IR,TR,499
IR,PK,909
IR,TM,992
IR,IRQ,1458
AFG,CN,76
AFG,IR,936
AFG,PK,2430
AFG,TJ,1206
AFG,TM,744
AFG,UZ,137
TM,UZ,1621
TJ,UZ,1161
KG,TJ,870
KG,UZ,1099
KG,KZ,1051
KZ,R,7644
KZ,TM,379
KZ,UZ,2203
