name,river,area,elevation,depth,coordinates
Inarijärvi,Paatsjoki,1040,119,92,"(68.95,27.7)"
Oulujärvi,Oulujoki,928,123,35,"(64.3,27.25)"
Saimaa,Vuoksi,4370,76,85,"(61.3,28.0)"
Päijänne,Kymijoki,1118,78,95,"(61.5,25.4)"
Mjoesa-See,Lågen,368,123,449,"(60.65,11)"
Storuman,Umeälv,173,419,139,"(65.22,16.88)"
Siljan,Österdalälv,290,161,134,"(60.85,14.8)"
Mälaren,,1140,0.7,66,"(59.4,17.1)"
Vänern,Götaälv,5648,44,106,"(58.8,13.3)"
Vättern,Motala Ström,1900,88,119,"(58.3,14.5)"
Arresø,,40.2,3.9,5.6,"(56,12.1)"
Lough Neagh,Bann,392,15,25,"(54.6,-6.4)"
Loch Ness,Ness,56,16,226,"(57.31,-4.44)"
Loch Lomond,Leven,71,7.9,190,"(56.08,-4.59)"
Bodensee,Rhein,538.5,395,254,"(47.6,9.4)"
Chiemsee,Alz,80,518,73,"(47.9,12.4)"
Starnberger See,Würm,56.36,584,127.7,"(47.92,11.32)"
Ammersee,Ammer,46.6,533,81.1,"(48,11.6)"
Laacher Maar,,3.3,275,53,"(50.4,7.3)"
Lac Leman,Rhone,581,372,310,"(46.5,6.5)"
Lac de Serre-Ponçon,Durance,29,785,120,"(44.52,6.35)"
Zürichsee,Limmat,88,406,136,"(47.501794,8.236313)"
Thunersee,Aare,48.3,558,217,"(46.69,7.716)"
Brienzersee,Aare,29.8,564,260,"(46.73,7.97)"
Lac de Neuchâtel,Zihl,218,429,153,"(46.90,6.86)"
Bielersee,Aare,40,428,74,"(47.08,7.17)"
Vierwaldstättersee,Reuss,113.7,434,214,"(47.0,8.4)"
Lago Maggiore,Ticino,212,193,372,"(45.96,8.65)"
Lago di Lugano,Tresa,48.7,271,288,"(45.98,8.97)"
Lago di Como,Adda,146,197,425,"(46,9.3)"
Lago di Garda,Mincio,370,65,346,"(45.6,10.65)"
Lago Trasimeno,,128,259,7,"(43.1,12.1)"
Lago di Bolsena,Marta,114,335,151,"(42.6,11.9)"
Lago di Bracciano,Arrone,57,164,165,"(42.1,12.2)"
Lago Albano,,6,291,170,"(41.75,12.66)"
Lago Omodeo,Tirso,29,118,60,"(40.14,8.91)"
Laguna de Gallocanta,,14.4,995,1.5,"(40.96,-1.5)"
Neusiedlersee,,320,115.5,1.8,"(47.8,16.7)"
Balaton,,594,104,12.5,"(46.8,17.6)"
Orava Reservoir,Orava,35.2,601,38,"(49.40,19.55)"
Lake Skutari,Buna,368,7,44,"(42.2,19.3)"
Lake Prespa,,273,849,54,"(40.9,21.0)"
Lake Ohrid,Black Drin,367,695,289,"(41.0,20.7)"
Kiev Reservoir,Dnepr,922,99,8,"(50.6,30.5)"
Kakhovka Reservoir,Dnepr,2155,44,26,"(47.45,34.20)"
Kremenchuk Reservoir,Dnepr,2252,44,28,"(49.2,32.65)"
Rybinsk Reservoir,Volga,4580,102,28,"(58.7,38.42)"
Kuybyshev Reservoir,Volga,6450,53,41,"(53.5,49.45)"
Kama Reservoir,Kama,1915,108.5,30,"(58.68,56.11)"
Lower Kama Reservoir,Kama,1370,63,41,"(55.89,52.80)"
Ozero Ladoga,Newa,18400,4,225,"(60.82,31.53)"
Ozero Onega,Swir,9616,33,127,"(61.67,35.485)"
Wygozero,Wyg,1250,89,18,"(35.485,34.74)"
Ozero Pskovskoje,Narva,3555,30,14.6,"(58.68,27.49)"
Novosibirsk Reservoir,Ob,1070,114,25,"(54.85,82.99)"
Ozero Keta,Pyasina,452,85,180,"(68.74,90.07)"
Ozero Khantayskoye,Chantaika,822,65,420,"(68.33,91.00)"
Ozero Taimyr,Taimyra,4560,5,26,"(74.5,101.6)"
Ozero Baikal,Angara,31492,455,1637,"(53,108)"
Ozero Chanka,Sungacha,4190,68,10.6,"(45,132.4)"
Koltsevoye Lake,,25,384,,"(49.36,154.71)"
Dead Sea,,41650,-422,378,"(31.3,35.5)"
Lake Genezareth,Jordan,165,-212,46,"(32.81,35.60)"
Lake Assad,Euphrat,610,310,,"(35.88,38.57)"
Lake Van,,3740,1719,457,"(38.6,42.9)"
Tuz Gölü,,1600,905,1,"(38.73,33.39)"
Nemrut Gölü,,6,2200,155,"(38.65,42.23)"
Lake Keban,Euphrat,675,820,,"(38.8,38.75)"
Atatürk Baraj Gölü,Euphrat,817,542,,"(37.48,38.31)"
Lake Sevan,Hrazdan,1242,1904,79,"(40.3,45.35)"
Lake Urmia,,5470,1280,7,"(37.7,45.3)"
Daryacheh ye Namak,,1800,790,1,"(34.5,51.88)"
Lake Hamun,,1600,500,,"(30.8,61.2)"
Caspian Sea,,386400,-28,995,"(41,51)"
Garabogazköl,,18000,-28,7,"(41.3,53.6)"
North Aral Sea,,3300,40,18,"(46.5,60.7)"
South Aral Sea,,3500,29,15,"(45.2,58.8)"
Bukhtarma Reservoir,Irtysh,5490,388,,"(49.66,83.35)"
Kapshagay Dam,Ili,1847,485,,"(43.9,74.1)"
Ozero Balchash,,18428,342,26,"(46.55,74.88)"
Issyk-Kul,,6236,1609,668,"(42.4,77.2)"
Koli Sarez,Bartang,80,3250,500,"(38.2,72.75)"
Karakul,,380,4020,230,"(39.0,73.4)"
Lop Nor,,5000,780,0,"(40.2,90.6)"
Aydingkol,,152,-155,0,"(42.65,89.27)"
Uws Nuur,,3350,753,20,"(50.3,92.7)"
Chöwsgöl Nuur,Egiin Gol,2760,1624,262,"(51.2,100.5)"
Hulun Nur,,2315,539,9,"(48.95,117.45)"
Qinghai Lake,,4583,3195,27,"(36.9,100.2)"
Nam Co,,1855,4718,125,"(30.7,90.55)"
Manasarovar,Satluj,412,4586,77,"(30.67,81.47)"
Rakshastal,Satluj,258,4572,,"(30.7,81.23)"
Hongze Hu,Huai,1960,15,,"(33.3,118.7)"
Tai Hu,,2250,15,,"(31.17,120.15)"
Poyang Hu,,3585,16.5,25,"(29.1,116.3)"
Xiluodu,Yangtze,140,600,,"(28.25,103.65)"
Three Gorges Reservoir,Yangtze,1084,175,,"(30.82,111.00)"
