name,elevation,coordinates
Gunnbjørn Fjeld,3694,"(68.92,-29.9)"
Newtontoppen,1713,"(79.0,17.3)"
Hvannadalshnukur,2110,"(64.1,-16.7)"
Snaefell,1833,"(64.5,-15.2)"
Hekla,1491,"(64,-19.7)"
Katla,1450,"(63.6,-19.0)"
Haltiatunturi,1365,"(69.3,21.27)"
Kebnekaise,2099,"(67.9,18.5)"
Sarektjokko,2089,"(67.43,17.71)"
Higravstinden,1146,"(68.36,14.79)"
Galdhoeppig,2469,"(61.64,8.31)"
Glittertind,2465,"(61.65,8.55)"
Snoehetta,2286,"(62.32,9.27)"
Ben Nevis,1344,"(56.8,-5.0)"
Snowdon,1015,"(53.08,-4.08)"
Sgùrr Alasdair,993,"(57.21,-6.22)"
Carrauntoohil,1041,"(52.00,-9.74)"
Slieve Donard,849,"(54.18,-5.92)"
Feldberg,1493,"(47.87,8.00)"
Brocken,1141,"(51.8,10.6)"
Grosser Arber,1456,"(49.1,13)"
Zugspitze,2963,"(47.42,10.99)"
Barre des Ecrins,4101,"(44.92,6.36)"
Mont Ventoux,1912,"(44.18,5.28)"
Gran Paradiso,4061,"(45.5,7.25)"
Mont Blanc,4808,"(45.83,6.86)"
Grand Combin,4314,"(45.93,7.30)"
Matterhorn,4478,"(45.98,7.66)"
Monte Rosa,4634,"(45.93,7.87)"
Finsteraarhorn,4274,"(46.5,8.1)"
Piz Bernina,4048,"(46.4,9.9)"
Marmolata,3343,"(46.4,11.85)"
Grossglockner,3797,"(47.07,12.69)"
Hochgolling,2862,"(47.3,13.75)"
Triglav,2864,"(46.38,13.83)"
Grand Ballon,1424,"(47.90,7.10)"
Chasseral,1606,"(47.23,7.06)"
Crêt de la Neige,1720,"(46.17,5.94)"
Puy De Dome,1465,"(45.52,2.81)"
Puy de Sancy,1885,"(45.77,2.96)"
Hiru Erregeen Mahaia,2424,"(42.92,0.74)"
Vignemale,3298,"(42.8,0.15)"
Pico de Aneto,3404,"(42.6,0.65)"
Pica d'Estats,3143,"(42.67,1.39)"
Coma Pedrosa,2944,"(42.59,1.46)"
Croscat,786,"(42.15,2.55)"
Torre de Cerredo,2648,"(43.2,4.85)"
Torre de Estrela,1993,"(40.3,-7.6)"
Pico de Almanzor,2592,"(40.25,-5.3)"
Moncayo,2313,"(41.8,1.85)"
Mulhacen,3482,"(37.05,-3.3)"
Puig Major,1445,"(39.81,2.79)"
Rock of Gibraltar,426,"(36.12,-5.25)"
Monte Cinto,2706,"(42.4,8.9)"
Punta La Marmora,1834,"(39.97,9.3)"
Monte Capanne,1019,"(42.77,10.17)"
