abbreviation,name,city,country,province,established
AfDB,African Development Bank Group,Abidjan,CI,Abidjan,1964-09-09
AU,African Union,Addis Ababa,ETH,Addis Ababa,1963-05-25
UNAMID,African Union/United Nations Hybrid Operation in Darfur,,,,2007-07-31
ACP,"African, Caribbean, and Pacific Group of States",Bruxelles,B,Bruxelles,1975-06-05
OPANAL,Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean,Ciudad de México,MEX,Distrito Federal,1967-02-13
AOSIS,Alliance of Small Island States,,,,
CAN,Andean Community,Lima,PE,Lima City,1969-05-26
ABEDA,Arab Bank for Economic Development in Africa,Khartoum,SUD,Al-Kharṭūm,1974-02-17
AFESD,Arab Fund for Economic and Social Development,,,,1968-05-16
AMU,Arab Maghreb Union,Rabat,MA,Rabat Sale Zemmour Zaer,1989-02-16
AMF,Arab Monetary Fund,Abu Dhabi,UAE,United Arab Emirates,1976-04-26
ARF,ASEAN Regional Forum,,,,1994-07-25
APEC,Asia-Pacific Economic Cooperation,Singapore,SGP,Singapore,1989-11-06
ADB,Asian Development Bank,Manila,RP,Metro Manila,1966-12-19
ASEAN,Association of Southeast Asian Nations,Jakarta,RI,DKI Jakarta,1967-08-07
AG,Australia Group,,,,
ANZUS,Australia-New Zealand-United States Security Treaty,Canberra,AUS,Australia Capital Territory,1951-08-31
BA,Baltic Assembly,Rīga,LV,Latvia,1990-05-12
BIS,Bank for International Settlements,Basel,CH,Basel-Stadt,1930-01-19
BIMSTEC,Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation,,,,
Benelux,Benelux Union,Bruxelles,B,Bruxelles,1958-02-02
BSEC,Black Sea Economic Cooperation Zone,,,,1992-06-24
Caricom,Caribbean Community and Common Market,Georgetown,GUY,Guyana,1973-07-04
CDB,Caribbean Development Bank,,,,1969-10-18
BDEAC,Central African States Development Bank,Brazzaville,RCB,Brazzaville,1975-12-03
BCIE,Central American Bank for Economic Integration,Tegucigalpa,HN,Francisco Morazán,1960-12-13
CACM,Central American Common Market,Ciudad de Guatemala,GCA,Guatemala,1960-12-13
SICA,Central American Integration System,San Salvador,ES,El Salvador,1991-12-13
CEI,Central European Initiative,Budapest,H,Budapest,1989-11-10
CSTO,Collective Security Treaty Organization,Moskva,R,Moscow,2002-10-07
CP,Colombo Plan,Colombo,CL,Sri Lanka,1951-07-01
COMESA,Common Market for Eastern and Southern Africa,Lusaka,Z,Lusaka,1994-12-08
C,Commonwealth,London,GB,London,1931-12-31
CIS,Commonwealth of Independent States,Minsk,BY,Minsk City,1991-12-08
CD,Community of Democracies,,,,2000-06-26
CELAC,Community of Latin American and Caribbean States,,,,2010-02-22
CPLP,Comuinidade dos Paises de Lingua Portuguesa,,,,
CICA,Conference of Interaction and Confidence-Building Measures in Asia,Almaty,KZ,Almaty City,1999-09-13
CAEU,Council of Arab Economic Unity,Amman,JOR,Jordan,1957-06-02
SELEC,Convention of the Southeast European Law Enforcement Center,Bucureşti,RO,Bucureşti,2011-10-07
CE,Council of Europe,Strasbourg,F,Grand Est,1949-05-05
CBSS,Council of the Baltic Sea States,,,,1992-03-06
Entente,Council of the Entente,Abidjan,CI,Abidjan,1959-05-29
D-8,Developing Eight,,,,1997-06-14
EAC,East African Community,,,,
EADB,East African Development Bank,Kampala,EAU,Central,1967-06-05
EAS,East Asia Summit,,,,2005-12-14
CEMAC,Economic and Monetary Community of Central Africa,Bangui,RCA,Central African Republic,1964-12-08
EMU,Economic and Monetary Union,Bruxelles,B,Bruxelles,1992-02-06
CEPGL,Economic Community of the Great Lakes Countries,,,,1976-09-19
ECOWAS,Economic Community of West African States,Lagos,NGR,Lagos,1975-05-28
ECO,Economic Cooperation Organization,Tehran,IR,Tehran,1985-01-28
EurasEC,Eurasian Economic Community,,,,
EAPC,Euro-Atlantic Partnership Council,Bruxelles,B,Bruxelles,1991-11-07
EBRD,European Bank for Reconstruction and Development,London,GB,London,1990-01-08
ECB,European Central Bank,Frankfurt,D,Hessen,1998-05-31
EFTA,European Free Trade Association,Genève,CH,Genève,1960-01-03
EIB,European Investment Bank,Luxembourg,L,Luxembourg,1957-03-25
CERN,European Organization for Nuclear Research,Genève,CH,Genève,1953-07-01
ESA,European Space Agency,Paris,F,Île-de-France,1975-05-31
EU,European Union,Bruxelles,B,Bruxelles,1992-02-06
EITI,Extractive Industry Transparency Initiative,,,,
FATF,Financial Action Task Force,Paris,F,Île-de-France,1989-07-15
