country,independence,wasdependent,government
AL,1912-11-28,Ottoman Empire,parliamentary democracy
GR,1829-01-01,Ottoman Empire,parliamentary republic
CY,1960-08-16,GB,republic
AD,,,British sovereign base area
MK,1991-09-17,Yugoslavia,parliamentary democracy
SRB,1992-04-11,Yugoslavia,republic
MNE,2006-06-03,SRB,republic
KOS,2008-02-17,SRB,republic
AND,1278-09-08,,parliamentary democracy that retains as its chiefs of state a co-principality
F,,,republic
E,1479-01-20,,parliamentary monarchy
CZ,1993-01-01,Czechoslovakia,parliamentary democracy
SK,1993-01-01,Czechoslovakia,parliamentary democracy
D,1871-01-18,,federal republic
H,1918-11-18,Austria-Hungary,parliamentary democracy
I,1861-03-17,,republic
CH,1291-01-01,,formally a confederation but similar in structure to a federal republic
FL,1806-07-12,Holy Roman Empire,hereditary constitutional monarchy
A,1918-11-12,Austria-Hungary,federal republic
EST,1991-09-06,Soviet Union,parliamentary republic
LV,1991-09-06,Soviet Union,parliamentary democracy
LT,1991-09-06,Soviet Union,parliamentary democracy
BY,1991-08-25,Soviet Union,"republic in name, although in fact a dictatorship"
PL,1918-11-11,,republic
UA,1991-12-01,Soviet Union,republic
R,1991-08-24,Soviet Union,federation
B,1830-10-04,NL,federal parliamentary democracy under a constitutional monarchy
L,1890-11-24,NL,constitutional monarchy
NL,1581-07-26,E,constitutional monarchy
SLO,1991-06-25,Yugoslavia,parliamentary republic
HR,1991-06-25,Yugoslavia,parliamentary democracy
BIH,1992-04-01,Yugoslavia,emerging federal democratic republic
BG,1908-09-22,Ottoman Empire,parliamentary democracy
RO,1877-05-09,Ottoman Empire,republic
DK,,,constitutional monarchy
IS,1944-06-17,DK,constitutional republic
FO,,,part of the Danish realm
IRL,1921-12-06,GB,"republic, parliamentary democracy"
SF,1917-12-06,R,republic
N,1905-10-26,S,constitutional monarchy
S,,,failed state; formally constitutional monarchy
MC,1297-01-08,,constitutional monarchy
V,1929-02-11,I,monarchical sacerdotal state
CEU,,,dependent territory of Spain
MEL,,,dependent territory of Spain
RSM,0301-01-01,,republic
M,1964-09-21,GB,republic
GBM,,,parliamentary democracy
MD,1991-08-27,Soviet Union,republic
P,1139-07-25,E,republic; parliamentary democracy
SVA,,,territory of Norway administered by the Ministry of Industry
