province,country,localname
Anatolikis Makedonias kai Thrakis,GR,Ανατολικής Μακεδονίας και Θράκης
Attikis,GR,Αττικής
Dytikis Elladas,GR,Δυτικής Ελλάδας
Dytikis Makedonias,GR,Δυτικής Μακεδονίας
Ionion Nison,GR,Ιονίων Νήσων
Ipeiroy,GR,Ηπείρου
Kentrikis Makedonias,GR,Κεντρικής Μακεδονίας
Kritis,GR,Κρήτης
Notioy Aigaioy,GR,Νότιου Αιγαίου
Peloponnisos,GR,Πελοποννήσου
Stereas Elladas,GR,Στερεάς Ελλάδας
Thessalias,GR,Θεσσαλίας
Boreioy Aigaioy,GR,Βορείου Αιγαίου
Aghion Oros,GR,Άγιο Όρος (Αυτοδιοίκητο)
Brest,BY,Брестской
Vitebsk,BY,Витебской
Gomel,BY,Гомельской
Grodno,BY,Гродненской
Mahiljou,BY,Могилевской
Minsk,BY,Минской
Minsk City,BY,Мінск
Cerkaska,UA,Черкаська
Cernihivska,UA,Чернігівська
Cernivecka,UA,Чернівецька
Charkivska,UA,Харківська
Chersonska,UA,Херсонська
Chmelnytska,UA,Хмельницька
Dnipropetrovska,UA,Дніпропетровська
Donetska,UA,Донецька
Ivano-Frankivska,UA,Івано-Франківська
Kyïvska,UA,Київська
Kirovohradska,UA,Кіровоградська
Luhanska,UA,Луганська
Lvivska,UA,Львівська
Mykolaïvska,UA,Миколаївська
Odeska,UA,Одеська
Poltavska,UA,Полтавська
Rivnenska,UA,Рівненська
Sumska,UA,Сумська
Ternopilska,UA,Тернопільська
Vinnytska,UA,Вінницька
Volynska,UA,Волинська
Zakarpatska,UA,Закарпатська
Zaporizka,UA,Запорізька
Zytomyrska,UA,Житомирська
Krym,UA,Крим
Kyïv,UA,Київ
Sevastopol,UA,Севастополь
Karelia,R,Карелия
Komi,R,Коми
Arkhangelskaya,R,Архангельская
Vologodskaya,R,Вологодская
Murmanskaya,R,Мурманская
Kaliningradskaya,R,Калининградская
Sankt-Peterburg,R,Санкт-Петербург
Leningradskaya,R,Ленинградская
Novgorodskaya,R,Новгородская
Pskovskaya,R,Псковская
Bryanskaya,R,Брянская
Vladimirskaya,R,Владимирская
Ivanovskaya,R,Ивановская
Kaluzhskaya,R,Калужская
Kostromskaya,R,Костромская
Moscow,R,Москва
Moskovskaya,R,Московская
Orlovskaya,R,Орловская
Ryazanskaya,R,Рязанская
Smolenskaya,R,Смоленская
Tverskaya,R,Тверская
Tulskaya,R,Тульская
