name,sea,length,area,source,estuary,estuaryelevation
Thjorsa,Atlantic Ocean,230,7530,"(65,-18)","(63.9,-20.8)",0
Jökulsa a Fjöllum,Greenland Sea,206,7380,"(64.8,-16.5)","(66.2,-16.6)",0
Thames,North Sea,346,12935,"(51.70,-2.03)","(51.50,0.65)",0
Severn,Atlantic Ocean,354,12935,"(52.49,-3.73)","(51.61,-2.63)",0
Avon,,123,2308,"(51.34,-2.27)","(51.50,-2.72)",0
Test,The Channel,64,1260,"(51.25,-1.24)","(50.93,-1.48)",0
Great Ouse,North Sea,64,1260,"(52.09,-1.09)","(52.80,-0.36)",0
Trent,North Sea,298,10435,"(53.12,-2.14)","(53.70,-0.69)",0
Ouse,North Sea,208,4133,"(54.37,-2.30)","(53.71,-0.70)",0
Aire,,123,2308,"(54.10,-2.19)","(53.72,-0.90)",5
Clyde,Irish Sea,176,4000,"(55.41,-3.65)","(55.96,-4.71)",0
Leven,,10,730,"(56.01,-4.59)","(55.94,-4.57)",
Ness,North Sea,12,1850,"(57.41,-4.33)","(57.49,-4.22)",0
Bann,Atlantic Ocean,129,5775,"(54.19,-6.08)","(55.17,-6.77)",0
Shannon,Atlantic Ocean,360,15695,"(54.23,-7.93)","(52.57,-9.70)",0
Gudenå,Kattegat,158,2643,"(55.90,9.40)","(56.48,10.21)",0
Glomma,Skagerrak,621,42000,"(62.6,12)","(59.20,10.95)",0
Lågen,,204,11459,"(62.19,8.45)","(61.10,11.45)",123
Götaälv,Kattegat,93,50180,"(58.4,12.34)","(57.7,11.9)",0
Motala Ström,Baltic Sea,100,15481,"(58.54,15.00)","(58.62,16.25)",0
Klarälv,,460,11847,"(62.2,11.9)","(59.4,13.5)",44
Dalälv,Baltic Sea,520,28953.8,"(60.55,15.1)","(60.7,17.2)",0
Västerdalälv,,320,8640,"(61.8,12.6)","(60.55,15.1)",150
Österdalälv,,241,12430,"(61.85,12.7)","(60.55,15.1)",150
Umeälv,Baltic Sea,470,26814,"(66.1,14.8)","(63.5,20.1)",0
Paatsjoki,Barents Sea,145,18404,"(68.95,28.3)","(60.75,30.05)",0
Torneälv,Baltic Sea,631,40131,"(68.27,18.13)","(65.81,24.35)",0
Ounasjoki,,300,13968,"(68.6,23.8)","(66.3,24.4)",
Kemijoki,Baltic Sea,550,51127,"(67.96,28.9525)","(65.77,24.45)",0
Oulujoki,Baltic Sea,107,22841,"(64.3,27.25)","(65.3,25.2)",0
Kymijoki,Baltic Sea,203,37159,"(61.5,25.4)","(60.3,26.5)",0
Kokemäenjoki,Baltic Sea,121,27046,"(61.3,23)","(61.3,21.2)",0
Vuoksi,,162,52400,"(61.2,28.75)","(60.81,31.54)",4
Memel,Baltic Sea,937,98200,"(53.25,27.31)","(55.34,21.25)",0
Neris,,510,25100,"(54.69,27.87)","(54.90,23.87)",21
Weichsel,Baltic Sea,1047,194424,"(49.61,19.01)","(54.36,18.95)",0
Narew,,484,75175,"(52.87,24.23)","(52.43,20.67)",67
Western Bug,,772,39400,"(49.09,25.06)","(52.50,21.08)",75
Dunajec,,247,6796,"(49.20,19.86)","(50.24,20.73)",175
San,,433,16861,"(49.00,22.87)","(50.74,21.85)",170
Poprad,,174,2081,"(49.18,20.06)","(49.59,20.65)",292
Oder,Baltic Sea,866,118861,"(49.61,17.52)","(53.60,14.59)",0
Neiße,,254,4403,"(50.73,15.23)","(52.07,14.76)",32
Warta,,808,54529,"(50.49,19.49)","(52.60,14.60)",9
Elbe,North Sea,1091,148268,"(50.78,15.54)","(53.89,8.71)",0
Havel,,334,24096,"(53.47,12.95)","(52.91,11.88)",22
Spree,,400,10100,"(51.01,14.65)","(52.53,13.21)",29
Saale,,413,24167,"(50.12,11.83)","(51.95,11.91)",49
Weiße Elster,,257,5154,"(50.2,12.27)","(51.43,11.95)",80
Mulde,,314,7400,"(50.41,12.40)","(51.87,12.23)",57
Eger,,316,5614,"(50.07,11.82)","(50.53,14.13)",136
Moldau,,440,28000,"(48.97,13.56)","(50.35,14.47)",155
Berounka,,241,8708,"(49.85,12.47)","(50.00,14.40)",187
Weser,North Sea,440,41094,"(51.4,9.65)","(53.5,8.5)",0
Aller,,211,15744,"(52.10,11.23)","(52.94,9.18)",10
Oker,,128,1822,"(51.77,10.49)","(52.52,10.36)",45
Leine,,281,6512,"(51.39,10.32)","(52.72,9.59)",25
Werra,,292,5496,"(50.5,10.96)","(51.4,9.65)",116.5
Fulda,,221,6947,"(50.5,9.9)","(51.4,9.65)",116.5
Ems,North Sea,371,13160,"(51.86,8.70)","(53.45,6.88)",0
Hase,,170,3086,"(52.63,8.27)","(52.70,7.29)",11
Rhein,North Sea,1324,198735,"(46.6,8.7)","(51.9,4.00)",0
Lippe,,220,4890,"(51.78,8.82)","(51.65,6.60)",15
Emscher,,83,775,"(51.49,7.61)","(51.56,6.69)",18
Ruhr,,219,4485,"(51.21,8.56)","(51.45,6.72)",20
Wupper,,116.5,813,"(51.1,7.6)","(51.04,6.95)",37
Sieg,,155,2857,"(50.92,8.25)","(50.47,7.07)",45
Lahn,,246,5925,"(50.89,8.24)","(50.31,7.59)",69
Main,,524,27292,"(50.1,11.4)","(49.99,8.29)",82
Regnitz,,59,7523,"(49.49,10.99)","(49.91,10.83)",231
Rednitz,,124,2118,"(49.43,10.40)","(49.49,10.99)",283
Pegnitz,,113,1230,"(49.76,11.54)","(49.49,10.99)",283
Nidda,,89.7,1923,"(50.53,9.23)","(50.10,8.55)",95
Mosel,,544,28286,"(47.89,6.89)","(50.37,7.61)",60
Sauer,,173,4259,"(49.92,5.4)","(49.71,6.51)",133
Alzette,,73,1172,"(49.48,5.96)","(49.85,6.1)",192
Saar,,227,7431,"(48.5,7.15)","(49.7,6.6)",130
