river,island
Thames,Great Britain
Severn,Great Britain
Avon,Great Britain
Test,Great Britain
Great Ouse,Great Britain
Trent,Great Britain
Ouse,Great Britain
Aire,Great Britain
Clyde,Great Britain
Leven,Great Britain
Ness,Great Britain
Bann,Ireland
Shannon,Ireland
Imera Meridionale,Sicilia
Tirso,Sardegna
Ishikari,Hokkaido
Shinano,Honshu
Tone,Honshu
Kitakami,Honshu
Yodo,Honshu
Kushiro,Hokkaido
Tamsui,Taiwan
Gaoping,Taiwan
Mahaweli,Sri Lanka
Asahan,Sumatra
Batang Hari,Sumatra
Solo,Java
Rajang,Borneo
Kapuas,Borneo
Mahakam,Borneo
Barito,Borneo
Pansipit River,Luzon
Pasig River,Luzon
Agus River,Mindanao
Mamberano,New Guinea
Digul,New Guinea
Sepik,New Guinea
Fly River,New Guinea
Ruggles River,Ellesmere Island
Koukdjuak River,Baffin Island
Manitou River,Manitoulin
Mindemoya River,Manitoulin
Río Azopardo,Tierra del Fuego
Waikato River,Te Ika-a-Maui (North Island)
Whangaehu River,Te Ika-a-Maui (North Island)
Clutha River,Te Waka-a-Maui (South Island)
