river,country,province
Thjorsa,IS,Iceland
Jökulsa a Fjöllum,IS,Iceland
Thames,GB,East of England
Thames,GB,South East England
Severn,GB,South West England
Avon,GB,South West England
Test,GB,South East England
Great Ouse,GB,East of England
Trent,GB,Yorkshire and the Humber
Ouse,GB,Yorkshire and the Humber
Aire,GB,Yorkshire and the Humber
Clyde,GB,Scotland
Leven,GB,Scotland
Ness,GB,Scotland
Bann,GB,Northern Ireland
Shannon,IRL,Munster
Gudenå,DK,Midtjylland
Glomma,N,Østfold
Lågen,N,Akershus
Götaälv,S,Västra Götaland
Motala Ström,S,Östergötland
Klarälv,S,Värmland
Dalälv,S,Uppsala
Västerdalälv,S,Dalarna
Österdalälv,S,Dalarna
Umeälv,S,Västerbotten
Paatsjoki,R,Murmanskaya
Paatsjoki,N,Finnmark
Torneälv,SF,Lappia
Torneälv,S,Västerbotten
Ounasjoki,SF,Lappia
Kemijoki,SF,Lappia
Oulujoki,SF,Pohjois-Pohjanmaa
Kymijoki,SF,Kymenlaakso
Kokemäenjoki,SF,Satakunta
Vuoksi,R,Karelia
Memel,LT,Lithuania
Memel,R,Kaliningradskaya
Neris,LT,Lithuania
Weichsel,PL,Pomorskie
Narew,PL,Mazowieckie
Western Bug,PL,Mazowieckie
Dunajec,PL,Małopolskie
San,PL,Podkarpackie
Poprad,PL,Małopolskie
Oder,D,Mecklenburg-Vorpommern
Oder,PL,Zachodniopomorskie
Neiße,D,Brandenburg
Neiße,PL,Lubuskie
Warta,PL,Śląskie
Elbe,D,Niedersachsen
Havel,D,Sachsen-Anhalt
Spree,D,Berlin
Saale,D,Sachsen-Anhalt
Weiße Elster,D,Sachsen-Anhalt
Mulde,D,Sachsen-Anhalt
Eger,CZ,Ústecký
Moldau,CZ,Středočeský
Berounka,CZ,Praha
Weser,D,Bremen
Weser,D,Niedersachsen
Aller,D,Niedersachsen
Oker,D,Niedersachsen
Leine,D,Niedersachsen
Werra,D,Niedersachsen
Fulda,D,Hessen
Ems,D,Niedersachsen
Hase,D,Niedersachsen
Rhein,NL,Zuid-Holland
Lippe,D,Nordrhein-Westfalen
Emscher,D,Nordrhein-Westfalen
Ruhr,D,Nordrhein-Westfalen
Wupper,D,Nordrhein-Westfalen
Sieg,D,Nordrhein-Westfalen
Lahn,D,Rheinland-Pfalz
Main,D,Hessen
Regnitz,D,Bayern
Rednitz,D,Bayern
Pegnitz,D,Bayern
Nidda,D,Hessen
Mosel,D,Rheinland-Pfalz
Sauer,D,Rheinland-Pfalz
Alzette,L,Luxembourg
Saar,D,Rheinland-Pfalz
Meurthe,F,Grand Est
Neckar,D,Baden-Württemberg
Enz,D,Baden-Württemberg
Ill,F,Grand Est
Elz,D,Baden-Württemberg
Birs,CH,Basel-Stadt
Aare,CH,Aargau
Saane,CH,Bern
Zihl,CH,Bern
Zihl,CH,Neuchâtel
Orbe,CH,Vaud
Reuss,CH,Aargau
Limmat,CH,Aargau
Thur,CH,Zürich
Bregenzer Ach,A,Vorarlberg
Hinterrhein,CH,Graubünden
Maas,NL,Noord-Brabant
Rur,NL,Limburg
Schelde,NL,Zeeland
Somme,F,Hauts-de-France
Seine,F,Normandie
Marne,F,Île-de-France
Vilaine,F,Bretagne
Loire,F,Pays de la Loire
Maine,F,Pays de la Loire
Sarthe,F,Pays de la Loire
Mayenne,F,Pays de la Loire
Vienne,F,Centre-Val de Loire
Cher,F,Centre-Val de Loire
Allier,F,Centre-Val de Loire
Garonne,F,Nouvelle-Aquitaine
Rhone,F,Provence-Alpes-Côte d'Azur
Saone,F,Auvergne-Rhône-Alpes
Doubs,F,Bourgogne-Franche-Comté
Isere,F,Auvergne-Rhône-Alpes
Durance,F,Provence-Alpes-Côte d'Azur
Mino,P,Viana do Castelo
Douro,P,Aveiro
Douro,P,Porto
Mondego,P,Coimbra
Tejo,P,Lisboa
Jarama,E,Castilla-La Mancha
Sado,P,Setubal
Guadiana,E,Andalucía
Guadiana,P,Algarve
Guadalquivir,E,Andalucía
Genil,E,Andalucía
Segura,E,Valenciana
Júcar,E,Valenciana
Turia,E,Valenciana
Ebro,E,Catalunya
Segre,E,Catalunya
Valira,E,Catalunya
Po,I,Veneto
Po,I,Emilia-Romagna
Tresa,I,Lombardia
Ticino,I,Lombardia
Moesa,CH,Graubünden
Lambro,I,Lombardia
Dora Baltea,I,Piemonte
Tanaro,I,Piemonte
Adda,I,Lombardia
Mera,I,Lombardia
Mincio,I,Veneto
Etsch,I,Veneto
Tevere,I,Lazio
Marta,I,Lazio
Arrone,I,Lazio
Arno,I,Toscana
Imera Meridionale,I,Sicilia
Tirso,I,Sardegna
Donau,UA,Odeska
Donau,RO,Tulcea
Breg,D,Baden-Württemberg
Brigach,D,Baden-Württemberg
Iller,D,Baden-Württemberg
Iller,D,Bayern
Lech,D,Bayern
Isar,D,Bayern
Ammer,D,Bayern
Würm,D,Bayern
Inn,D,Bayern
Ilz,D,Bayern
Regen,D,Bayern
Naab,D,Bayern
Alz,D,Bayern
Salzach,D,Bayern
Salzach,A,Oberösterreich
Enns,A,Oberösterreich
Enns,A,Niederösterreich
March,SK,Bratislavský
March,A,Niederösterreich
Thaya,CZ,Jihomoravský
Thaya,A,Niederösterreich
Svratka,CZ,Jihomoravský
Jihlava,CZ,Jihomoravský
Raab,H,Győr-Moson-Sopron
Waag,SK,Nitriansky
Orava,SK,Žilinský
Czarna Orava,SK,Žilinský
Biela Orava,SK,Žilinský
Nitra,SK,Nitriansky
Hron,SK,Nitriansky
Drau,HR,Croatia
Gail,A,Kärnten
Mur,H,Zala
Mur,HR,Croatia
Tisza,SRB,Serbia
Somes,H,Szabolcs-Szatmár-Bereg
Sajó,H,Borsod-Abaúj-Zemplén
Hernad,H,Borsod-Abaúj-Zemplén
Torysa,SK,Košický
Mureș,H,Csongrád
Argeș,RO,Călăraşi
Dâmbovița,RO,Călăraşi
Ialomița,RO,Călăraşi
Save,SRB,Serbia
Bosna,BIH,Federacija Bosne i Hercegovine
Bosna,BIH,Republika Srpska
Drina,SRB,Serbia
Drina,BIH,Republika Srpska
Tara,MNE,Montenegro
Tara,BIH,Republika Srpska
Piva,MNE,Montenegro
Piva,BIH,Republika Srpska
Morava,SRB,Serbia
Southern Morava,SRB,Serbia
Zapadna Morava,SRB,Serbia
Ibar,SRB,Serbia
Iskar,BG,Bulgaria
Ossam,BG,Bulgaria
Timiş,SRB,Serbia
Jiu,RO,Dolj
Olt,RO,Olt
Siret,RO,Galaţi
Pruth,RO,Galaţi
Pruth,MD,Moldova
Moraca,MNE,Montenegro
Neretva,HR,Croatia
Buna,AL,Albania
Drin,AL,Albania
White Drin,AL,Albania
Black Drin,AL,Albania
Vjosa,AL,Albania
Acheloos,GR,Dytikis Elladas
Aliakmonas,GR,Kentrikis Makedonias
Vardar,GR,Kentrikis Makedonias
Struma,GR,Kentrikis Makedonias
Maritsa,GR,Anatolikis Makedonias kai Thrakis
Maritsa,TR,Edirne
Tundzha,TR,Edirne
Nachal HaKishon,IL,Hefa
Nachal Sorek,IL,HaMerkaz
Nachal HaBesor,GAZA,Gaza Strip
Jordan,WB,West Bank
Jordan,JOR,Jordan
Litani,RL,Lebanon
Orontes,TR,Hatay
Seyhan,TR,Adana
Seyhan,TR,Mersin
Sakarya,TR,Sakarya
Kızılırmak,TR,Samsun
Rioni,GE,Georgia
Terek,R,Dagestan
Samur,R,Dagestan
Kura,AZ,Azerbaijan
Aras,AZ,Azerbaijan
Hrazdan,ARM,Armenia
Schatt al Arab,IRQ,Basrah
Tigris,IRQ,Basrah
Euphrat,IRQ,Basrah
Murat,TR,Elazığ
Karasu,TR,Erzincan
Karun,IR,Khuzestan
Sefid-Rud,IR,Gilan
Atrek,TM,Balkan
Helmand,IR,Sistan and Baluchestan
Northern Dwina,R,Arkhangelskaya
Suchona,R,Vologodskaya
Vychegda,R,Arkhangelskaya
Pechora,R,Arkhangelskaya
Newa,R,Leningradskaya
Swir,R,Leningradskaya
Wyg,R,Karelia
Narva,R,Leningradskaya
Daugava,LV,Latvia
Dnister,UA,Odeska
SouthernBug,UA,Mykolaïvska
Inhul,UA,Mykolaïvska
Dnepr,UA,Chersonska
Berezina,BY,Gomel
Sozh,BY,Gomel
Sozh,UA,Cernihivska
Svislach,BY,Mahiljou
Prypjat,UA,Kyïvska
Styr,BY,Brest
Teteriv,UA,Kyïvska
Desna,UA,Kyïvska
Seym,UA,Cernihivska
Psel,UA,Kyïvska
Vorskla,UA,Kyïvska
Inhulets,UA,Chersonska
Kalmius,UA,Donetska
Don,R,Rostovskaya
Donets,R,Rostovskaya
Manych,R,Rostovskaya
East Manych,R,Kalmykiya
East Manych,R,Dagestan
Oskol,UA,Charkivska
Kuban,R,Krasnodarskiy
Volga,R,Astrakhanskaya
Oka,R,Nizhnii Novgorodskaya
Moskva,R,Moskovskaya
Kama,R,Tatarstan
Vyatka,R,Tatarstan
Chusovaya,R,Permskij
Belaya,R,Tatarstan
Ural,KZ,Atyrau
Emba,KZ,Atyrau
Ob,R,Tyumenskaya
Irtysh,R,Tyumenskaya
Tobol,R,Tyumenskaya
Tura,R,Tyumenskaya
Tagil,R,Sverdlovskaya
Isset,R,Tyumenskaya
