mountain,country,province
Gunnbjørn Fjeld,GL,Greenland
Newtontoppen,SVA,Svalbard
Hvannadalshnukur,IS,Iceland
Snaefell,IS,Iceland
Hekla,IS,Iceland
Katla,IS,Iceland
Haltiatunturi,SF,Lappia
Kebnekaise,S,Norrbotten
Sarektjokko,S,Norrbotten
Higravstinden,N,Nordland
Galdhoeppig,N,Oppland
Glittertind,N,Oppland
Snoehetta,N,Oppland
Ben Nevis,GB,Scotland
Snowdon,GB,Wales
Sgùrr Alasdair,GB,Scotland
Carrauntoohil,IRL,Munster
Slieve Donard,GB,Northern Ireland
Feldberg,D,Baden-Württemberg
Brocken,D,Sachsen-Anhalt
Grosser Arber,D,Bayern
Zugspitze,D,Bayern
Zugspitze,A,Tirol
Barre des Ecrins,F,Auvergne-Rhône-Alpes
Mont Ventoux,F,Provence-Alpes-Côte d'Azur
Gran Paradiso,I,Piemonte
Gran Paradiso,I,Valle d'Aosta
Mont Blanc,F,Auvergne-Rhône-Alpes
Mont Blanc,I,Valle d'Aosta
Grand Combin,CH,Valais
Matterhorn,I,Valle d'Aosta
Matterhorn,CH,Valais
Monte Rosa,I,Valle d'Aosta
Monte Rosa,I,Lombardia
Monte Rosa,CH,Valais
Finsteraarhorn,CH,Basel-Landschaft
Finsteraarhorn,CH,Valais
Piz Bernina,I,Lombardia
Piz Bernina,CH,Graubünden
Marmolata,I,Trentino-Alto Adige
Marmolata,I,Veneto
Grossglockner,A,Kärnten
Hochgolling,A,Steiermark
Hochgolling,A,Salzburg
Triglav,SLO,Slovenia
Grand Ballon,F,Grand Est
Chasseral,CH,Bern
Crêt de la Neige,F,Auvergne-Rhône-Alpes
Puy De Dome,F,Auvergne-Rhône-Alpes
Puy de Sancy,F,Auvergne-Rhône-Alpes
Hiru Erregeen Mahaia,F,Nouvelle-Aquitaine
Hiru Erregeen Mahaia,E,Euskadi
Hiru Erregeen Mahaia,E,Navarra
Vignemale,F,Occitanie
Vignemale,E,Aragón
Pico de Aneto,E,Aragón
Pica d'Estats,E,Catalunya
Coma Pedrosa,AND,Andorra
Coma Pedrosa,E,Catalunya
Croscat,E,Catalunya
Torre de Cerredo,E,Asturias
Torre de Cerredo,E,Castilla y León
Torre de Estrela,P,Guarda
Pico de Almanzor,E,Castilla y León
Moncayo,E,Aragón
Moncayo,E,Castilla y León
Mulhacen,E,Andalucía
Puig Major,E,Illes Balears
Rock of Gibraltar,GBZ,Gibraltar
Monte Cinto,F,Corse
Punta La Marmora,I,Sardegna
Monte Capanne,I,Toscana
Monte Cimone,I,Emilia-Romagna
Corno Grande,I,Abruzzo
Monte Amaro,I,Abruzzo
Maschio delle Faete,I,Lazio
Vesuvio,I,Campania
Serra Dolcedorme,I,Basilicata
Serra Dolcedorme,I,Calabria
Montalto,I,Calabria
Etna,I,Sicilia
Pizzo Carbonara,I,Sicilia
Schneekoppe,CZ,Královéhradecký
Schneekoppe,PL,Dolnośląskie
Gerlachovsky Stit,SK,Prešovský
Kékes,H,Heves
Howerla,UA,Ivano-Frankivska
Howerla,UA,Zakarpatska
Pietrosul,RO,Maramureş
Moldoveanu,RO,Argeş
Moldoveanu,RO,Braşov
Moldoveanu,RO,Sibiu
Botew,BG,Bulgaria
Midžor,SRB,Serbia
Midžor,BG,Bulgaria
Musala,BG,Bulgaria
Korab,AL,Albania
Korab,MK,North Macedonia
Đeravica,KOS,Kosovo
Jezerce,AL,Albania
Bobotov Kuk,MNE,Montenegro
Cincar,BIH,Federacija Bosne i Hercegovine
Dinara,HR,Croatia
Vaganski Vrh,HR,Croatia
Smolikas,GR,Ipeiroy
Olymp,GR,Kentrikis Makedonias
Olymp,GR,Thessalias
Athos,GR,Aghion Oros
Kyllini,GR,Peloponnisos
Profitis Ilias,GR,Peloponnisos
Aenos,GR,Ionion Nison
Elati,GR,Ionion Nison
Dirfi,GR,Stereas Elladas
Fengari,GR,Boreioy Aigaioy
Kerkis,GR,Boreioy Aigaioy
Pilineo,GR,Boreioy Aigaioy
Pramnos,GR,Boreioy Aigaioy
Attavyros,GR,Notioy Aigaioy
Psiloritis,GR,Kritis
Olympos,CY,Cyprus
Pico de Teide,E,Canarias
Pico de las Nieves,E,Canarias
Pico de Malpaso,E,Canarias
Garajonay,E,Canarias
Roque de los Muchachos,E,Canarias
Pico Ruivo,P,Madeira
Pico,P,Azores
Pico da Vara,P,Azores
Pico da Esperança,P,Azores
Cabeço Gordo,P,Azores
Serra de Santa Bárbara,P,Azores
Fogo,CV,Cape Verde
Pico da Antónia,CV,Cape Verde
Jebel Moussa,MA,Tanger Tetouan
Monte Hacho,CEU,Ceuta
Tidighine,MA,Taza Al Hoceima Taounate
Tidighine,MA,Tanger Tetouan
Tubkhal,MA,Souss Massa Daraa
Tubkhal,MA,Marrakech Tensift Al Haouz
Djebel Aïssa,DZ,Algeria
Lalla Khedidja,DZ,Algeria
Djebel Chélia,DZ,Algeria
Djebel Chambi,TN,Tunisia
Tahat,DZ,Algeria
Idoukal-n-Taghès,RN,Agadez
Mont Greboun,RN,Agadez
Qārat as-Sabah,LAR,Libya
Bikku Bitti,LAR,Libya
Emi Kussi,TCH,Chad
Deriba Caldera,SUD,Wasaṭ Dārfūr
Mt. Sinai,ET,Egypt
Jabal Katrina,ET,Egypt
Shaiyb al-Banat,ET,Egypt
Mt. Oda,SUD,Al-Baḥr al-Aḥmar
Hombori Tondo,RMM,Mopti
Mt. Loura,RG,Guinea
Mt. Bintumani,SLE,Sierra Leone
Mt. Nimba,RG,Guinea
Mt. Nimba,LB,Liberia
Mt. Nimba,CI,Montagnes
Aso Rock,NGR,Abuja
Shere Hills,NGR,Plateau
Chappal Waddi,NGR,Taraba
Chappal Waddi,CAM,Adamaoua
Mt. Oku,CAM,Nord-Ouest
Fako,CAM,Sud-Ouest
Mt. Toussoro,RCA,Central African Republic
Pico Basile,GQ,Insular
Pico de Sao Tome,STP,Sao Tome and Principe
Queen Marys Peak,HELX,Saint Helena
Mousa Ali,DJI,Djibouti
Mousa Ali,ETH,Afar
Mousa Ali,ER,Eritrea
Jabal Hajhir,YE,Yemen
Shimbiris,SO,Somalia
Ras Dashen,ETH,Amhara
Tullu Dimtu,ETH,Oromia
Kinyeti,SSD,South Sudan
Kinyeti,EAU,Northern
Mt. Stanley,CGO,Nord-Kivu
Mt. Stanley,EAU,Western
Elgon,EAU,Eastern
Elgon,EAK,Kenya
Mt. Kenia,EAK,Kenya
Kilimanjaro,EAT,Kilimanjaro
Mawenzi,EAT,Kilimanjaro
Meru,EAT,Arusha
Karisimbi,CGO,Nord-Kivu
Karisimbi,RWA,Rwanda
Mt. Heha,BI,Burundi
Mafinga,Z,Muchinga
Mafinga,MW,Malawi
Sapitwa,MW,Malawi
Nyangani,ZW,Zimbabwe
Mt. Binga,MOC,Manica
Mt. Binga,ZW,Zimbabwe
Mt. Namuli,MOC,Zambézia
Mt. Namuli,ZW,Zimbabwe
Moco,ANG,Huambo
Brandberg,NAM,Namibia
Thabana Ntlenyana,LS,Lesotho
Cathkin Peak,RSA,KwaZulu-Natal
Table Mountain,RSA,Western Cape
Tsaratanana,RM,Madagascar
Tsiafajavona,RM,Madagascar
Andringitra,RM,Madagascar
Piton des Neiges,RE,Reunion
Piton de la Fournaise,RE,Reunion
Piton de la Petite Rivière Noire,MS,Mauritius
Karthala,COM,Comoros
Ntringui,COM,Comoros
Roman Kosch,UA,Krym
Kamen,R,Krasnoyarsk
Pik Sedova,R,Arkhangelskaya
Gora Pervousmotrennaya,R,Arkhangelskaya
Narodnaja,R,Komi
Tulymski Kamen,R,Permskij
Osljanka,R,Permskij
Iremel,R,Bashkortostan
Jamantau,R,Bashkortostan
Zachwoa,R,Dagestan
Elbrus,R,Kabardino-Balkarskaya
Dychtau,R,Kabardino-Balkarskaya
Schchara,R,Kabardino-Balkarskaya
Schchara,GE,Georgia
Kasbek,R,North Ossetia-Alania
Kasbek,GE,Georgia
Bazardüzü,R,Dagestan
Bazardüzü,AZ,Azerbaijan
Gamış dağı,AZ,Azerbaijan
Aragaz,ARM,Armenia
Ararat,TR,Ağrı
Ararat,TR,Iğdır
Süphan Dağı,TR,Bitlis
Nemrut Dağı,TR,Bitlis
Kaçkar Dağı,TR,Rize
Uludağ,TR,Bursa
Erciyes Dagi,TR,Kayseri
Hasan Dagi,TR,Aksaray
Demirkazik,TR,Niğde
Qurnat as-Sauda,RL,Lebanon
Mt. Hermon,RL,Lebanon
Mt. Hermon,SYR,Al Qunaytirah
Mt. Hermon,SYR,Rif Dimashq
Har Meron,IL,HaZafon
Har Ramon,IL,HaDarom
Jabal Umm ad Dami,JOR,Jordan
Jabal al-Lawz,SA,Tabouk
Jabal Al-qab,SA,Makkah Al-Mokarramah
Jabal Sawda,SA,Aseer
Jabal an Nabi Shuayb,YE,Yemen
Jebel Shams,OM,Oman
Damavand,IR,Mazandaran
Alam Kuh,IR,Mazandaran
Sabalan,IR,East Azarbayejan
Sabalan,IR,Ardebil
Cheekha Dar,IRQ,Arbil
Cheekha Dar,IR,West Azarbayejan
Zard Kuh,IR,Chaharmahal and Bakhtiyari
Hazaran,IR,Kerman
Taftan,IR,Sistan and Baluchestan
Jabal Shuayb,YE,Yemen
Guru Shikhar,IND,Rajasthan
Doddabetta,IND,Tamil Nadu
Anamudi,IND,Kerala
Dhupgarh,IND,Madhya Pradesh
Arma Konda,IND,Andhra Pradesh
Shillong Peak,IND,Meghalaya
Pidurutalagala,CL,Sri Lanka
Khuvkhoitun,R,Kamchatka
Kljutschewskaja Sopka,R,Kamchatka
Shiveluch,R,Kamchatka
Ichinsky,R,Kamchatka
Koryaksky,R,Kamchatka
Alaid,R,Sakhalin
Chikurachki,R,Sakhalin
Krenizyn,R,Sakhalin
Stokap,R,Sakhalin
Tyatya,R,Sakhalin
Peak Pobeda,R,Sakha
Mus-Khaya,R,Sakha
Lopatin,R,Sakhalin
Tordoki Yani,R,Khabarovskiy
Pik BAM,R,Zabaykalskiy
Zhima,R,Buryatiya
Mönkh Saridag,R,Buryatiya
Mönkh Saridag,MNG,Mongolia
Bjelucha,R,Altay
Bjelucha,KZ,East-Kazakhstan
Khüiten Peak,MNG,Mongolia
Khüiten Peak,CN,Xinjiang
Ikh Bogd,MNG,Mongolia
Otgon Tenger,MNG,Mongolia
Asralt Khairkhan,MNG,Mongolia
Pik Semjonow-Tjan-Schanski,KG,Kyrgyzstan
Pik Talgar,KZ,Almaty
Pik Manas,UZ,Toshkent
Pik Manas,KG,Kyrgyzstan
Pik Manas,KZ,Zhambyl
Jengish Chokusu,KG,Kyrgyzstan
Jengish Chokusu,CN,Xinjiang
Pik Chan-Tengri,KG,Kyrgyzstan
Pik Chan-Tengri,KZ,Almaty
Pik Chan-Tengri,CN,Xinjiang
Pik Tandykul,TJ,Regions of Republican Subordination
Pik Tandykul,KG,Kyrgyzstan
Tschimtarga,TJ,Sughd
Ayrybaba,TM,Lebap
Ayrybaba,UZ,Surkhandarya
Kongur,CN,Xinjiang
Muztagh Ata,CN,Xinjiang
Pik Ismoil Somoni,TJ,Gorno-Badakhshan
Pik Ozodi,TJ,Gorno-Badakhshan
Pik Lenina,TJ,Gorno-Badakhshan
Pik Lenina,KG,Kyrgyzstan
Pik Revoluzija,TJ,Gorno-Badakhshan
Pik Moskva,TJ,Gorno-Badakhshan
Pik Karl-Marx,TJ,Gorno-Badakhshan
Tirich Mir,PK,Khyber Pakhtunkhwa
Noshaq,AFG,Afghanistan
Noshaq,PK,Khyber Pakhtunkhwa
Shah Fuladi,AFG,Afghanistan
Zarghun Ghar,PK,Balochistan
Batura Sar,PK,Gilgit-Baltistan
K2,PK,Gilgit-Baltistan
K2,CN,Xinjiang
Broad Peak,PK,Gilgit-Baltistan
Broad Peak,CN,Xinjiang
Gasherbrum I,PK,Gilgit-Baltistan
Gasherbrum I,CN,Xinjiang
Gasherbrum II,PK,Gilgit-Baltistan
Gasherbrum II,CN,Xinjiang
Saltoro Kangri,PK,Gilgit-Baltistan
Saltoro Kangri,IND,Jammu and Kashmir
Saser Kangri,IND,Jammu and Kashmir
Nanga Parbat,PK,Gilgit-Baltistan
Nun Kun,IND,Jammu and Kashmir
Nanda Devi,IND,Uttarakhand
Gurla Mandhata,CN,Xizang
Dhaulagiri,NEP,Nepal
Annapurna,NEP,Nepal
Manaslu,NEP,Nepal
Shishapangma,CN,Xizang
Cho Oyu,NEP,Nepal
Cho Oyu,CN,Xizang
Mt. Everest,NEP,Nepal
Mt. Everest,CN,Xizang
Lhotse,NEP,Nepal
