river,country,province
Thjorsa,IS,Iceland
Jökulsa a Fjöllum,IS,Iceland
Thames,GB,East of England
Thames,GB,London
Thames,GB,South East England
Thames,GB,South West England
Severn,GB,West Midlands
Severn,GB,South West England
Severn,GB,Wales
Avon,GB,South West England
Test,GB,South East England
Great Ouse,GB,East of England
Great Ouse,GB,South East England
Trent,GB,Yorkshire and the Humber
Trent,GB,East Midlands
Trent,GB,West Midlands
Ouse,GB,Yorkshire and the Humber
Aire,GB,Yorkshire and the Humber
Clyde,GB,Scotland
Leven,GB,Scotland
Ness,GB,Scotland
Bann,GB,Northern Ireland
Shannon,IRL,Leinster
Shannon,IRL,Munster
Shannon,IRL,Connacht
Shannon,IRL,Ulster
Gudenå,DK,Midtjylland
Gudenå,DK,Syddanmark
Glomma,N,Akershus
Glomma,N,Østfold
Glomma,N,Hedmark
Glomma,N,Sør-Trøndelag
Lågen,N,Akershus
Lågen,N,Hedmark
Lågen,N,Oppland
Götaälv,S,Västra Götaland
Motala Ström,S,Östergötland
Klarälv,N,Hedmark
Klarälv,S,Värmland
Dalälv,S,Gävleborg
Dalälv,S,Dalarna
Dalälv,S,Uppsala
Dalälv,S,Västmanland
Västerdalälv,S,Dalarna
Österdalälv,S,Dalarna
Umeälv,S,Västerbotten
Paatsjoki,R,Murmanskaya
Paatsjoki,SF,Lappia
Paatsjoki,N,Finnmark
Torneälv,SF,Lappia
Torneälv,N,Nordland
Torneälv,S,Västerbotten
Ounasjoki,SF,Lappia
Kemijoki,SF,Lappia
Oulujoki,SF,Pohjois-Pohjanmaa
Oulujoki,SF,Kainuu
Kymijoki,SF,Päijät-Häme
Kymijoki,SF,Kymenlaakso
Kokemäenjoki,SF,Pirkanmaa
Kokemäenjoki,SF,Satakunta
Vuoksi,R,Karelia
Vuoksi,SF,Etelä-Karjala
Memel,LT,Lithuania
Memel,BY,Grodno
Memel,BY,Minsk
Memel,R,Kaliningradskaya
Neris,LT,Lithuania
Neris,BY,Vitebsk
Neris,BY,Grodno
Neris,BY,Minsk
Weichsel,PL,Kujawsko-Pomorskie
Weichsel,PL,Lubelskie
Weichsel,PL,Małopolskie
Weichsel,PL,Mazowieckie
Weichsel,PL,Podkarpackie
Weichsel,PL,Pomorskie
Weichsel,PL,Śląskie
Weichsel,PL,Świętokrzyskie
Narew,BY,Grodno
Narew,PL,Mazowieckie
Narew,PL,Podlaskie
Western Bug,BY,Brest
Western Bug,PL,Lubelskie
Western Bug,PL,Mazowieckie
Western Bug,PL,Podlaskie
Western Bug,UA,Lvivska
Western Bug,UA,Volynska
Dunajec,SK,Prešovský
Dunajec,PL,Małopolskie
San,PL,Podkarpackie
San,UA,Lvivska
San,UA,Zakarpatska
Poprad,SK,Prešovský
Poprad,PL,Małopolskie
Oder,CZ,Moravskoslezský
Oder,CZ,Olomoucký
Oder,D,Brandenburg
Oder,D,Mecklenburg-Vorpommern
Oder,D,Sachsen
Oder,PL,Dolnośląskie
Oder,PL,Lubuskie
Oder,PL,Opolskie
Oder,PL,Śląskie
Oder,PL,Zachodniopomorskie
Neiße,CZ,Liberecký
Neiße,D,Brandenburg
Neiße,D,Sachsen
Neiße,PL,Lubuskie
Neiße,PL,Łódzkie
Warta,PL,Lubuskie
Warta,PL,Łódzkie
Warta,PL,Śląskie
Warta,PL,Wielkopolskie
Elbe,CZ,Královéhradecký
Elbe,CZ,Liberecký
Elbe,CZ,Pardubický
Elbe,CZ,Středočeský
Elbe,CZ,Ústecký
Elbe,D,Brandenburg
Elbe,D,Hamburg
Elbe,D,Mecklenburg-Vorpommern
Elbe,D,Niedersachsen
Elbe,D,Sachsen
Elbe,D,Sachsen-Anhalt
Elbe,D,Schleswig-Holstein
Havel,D,Berlin
Havel,D,Brandenburg
Havel,D,Mecklenburg-Vorpommern
Havel,D,Sachsen-Anhalt
Spree,CZ,Ústecký
Spree,D,Berlin
Spree,D,Brandenburg
Spree,D,Sachsen
Saale,D,Bayern
Saale,D,Sachsen-Anhalt
Saale,D,Thüringen
Weiße Elster,CZ,Karlovarský
Weiße Elster,D,Sachsen
Weiße Elster,D,Sachsen-Anhalt
Weiße Elster,D,Thüringen
Mulde,D,Sachsen
Mulde,D,Sachsen-Anhalt
Eger,CZ,Karlovarský
Eger,CZ,Ústecký
Eger,D,Bayern
Moldau,CZ,Praha
Moldau,CZ,Jihočeský
Moldau,CZ,Středočeský
Berounka,CZ,Praha
Berounka,CZ,Plzeňský
Berounka,CZ,Středočeský
Berounka,D,Bayern
Weser,D,Bremen
Weser,D,Hessen
Weser,D,Niedersachsen
Weser,D,Nordrhein-Westfalen
Aller,D,Niedersachsen
Aller,D,Sachsen-Anhalt
Oker,D,Niedersachsen
Leine,D,Niedersachsen
Leine,D,Thüringen
Werra,D,Hessen
Werra,D,Niedersachsen
Werra,D,Thüringen
Fulda,D,Hessen
Ems,D,Niedersachsen
Ems,D,Nordrhein-Westfalen
Hase,D,Niedersachsen
Rhein,F,Grand Est
Rhein,D,Baden-Württemberg
Rhein,D,Hessen
Rhein,D,Nordrhein-Westfalen
Rhein,D,Rheinland-Pfalz
Rhein,CH,Aargau
Rhein,CH,Basel-Landschaft
Rhein,CH,Basel-Stadt
Rhein,CH,Graubünden
Rhein,CH,Sankt Gallen
Rhein,CH,Schaffhausen
Rhein,CH,Thurgau
Rhein,CH,Zürich
Rhein,FL,Liechtenstein
Rhein,A,Vorarlberg
Rhein,NL,Gelderland
Rhein,NL,Zuid-Holland
Rhein,NL,Noord-Brabant
Lippe,D,Nordrhein-Westfalen
Emscher,D,Nordrhein-Westfalen
Ruhr,D,Nordrhein-Westfalen
Wupper,D,Nordrhein-Westfalen
Sieg,D,Nordrhein-Westfalen
Sieg,D,Rheinland-Pfalz
Lahn,D,Hessen
Lahn,D,Nordrhein-Westfalen
Lahn,D,Rheinland-Pfalz
Main,D,Baden-Württemberg
Main,D,Bayern
Main,D,Hessen
Regnitz,D,Bayern
Rednitz,D,Bayern
Pegnitz,D,Bayern
Nidda,D,Hessen
Mosel,F,Grand Est
Mosel,D,Rheinland-Pfalz
Mosel,D,Saarland
Mosel,L,Luxembourg
Sauer,D,Rheinland-Pfalz
Sauer,B,Luxembourg
Sauer,L,Luxembourg
Alzette,F,Grand Est
Alzette,L,Luxembourg
Saar,F,Grand Est
Saar,D,Rheinland-Pfalz
Saar,D,Saarland
Meurthe,F,Grand Est
Neckar,D,Baden-Württemberg
Neckar,D,Hessen
Enz,D,Baden-Württemberg
Ill,F,Grand Est
Elz,D,Baden-Württemberg
Birs,CH,Basel-Landschaft
Birs,CH,Basel-Stadt
Birs,CH,Bern
Birs,CH,Jura
Birs,CH,Solothurn
Aare,CH,Aargau
Aare,CH,Bern
Aare,CH,Solothurn
Saane,CH,Bern
Saane,CH,Fribourg
Saane,CH,Valais
Zihl,CH,Bern
Zihl,CH,Neuchâtel
Orbe,F,Bourgogne-Franche-Comté
Orbe,CH,Vaud
Reuss,CH,Aargau
Reuss,CH,Luzern
Reuss,CH,Uri
Limmat,CH,Aargau
Limmat,CH,Zürich
Thur,CH,Sankt Gallen
Thur,CH,Thurgau
Thur,CH,Zürich
Bregenzer Ach,A,Vorarlberg
Hinterrhein,CH,Graubünden
Maas,F,Grand Est
Maas,B,Liège
Maas,B,Limburg
Maas,B,Namur
Maas,NL,Gelderland
Maas,NL,Zuid-Holland
Maas,NL,Noord-Brabant
Maas,NL,Limburg
Rur,D,Nordrhein-Westfalen
Rur,B,Liège
Rur,NL,Limburg
Schelde,F,Hauts-de-France
Schelde,B,Antwerpen
Schelde,B,Oost-Vlaanderen
Schelde,B,Hainaut
Schelde,B,West-Vlaanderen
Schelde,NL,Zeeland
Somme,F,Hauts-de-France
Seine,F,Île-de-France
Seine,F,Grand Est
Seine,F,Normandie
Seine,F,Bourgogne-Franche-Comté
Marne,F,Île-de-France
Marne,F,Grand Est
Vilaine,F,Bretagne
Vilaine,F,Pays de la Loire
Loire,F,Auvergne-Rhône-Alpes
Loire,F,Centre-Val de Loire
Loire,F,Pays de la Loire
Loire,F,Bourgogne-Franche-Comté
Maine,F,Pays de la Loire
Sarthe,F,Pays de la Loire
Sarthe,F,Normandie
Mayenne,F,Pays de la Loire
Mayenne,F,Normandie
Vienne,F,Nouvelle-Aquitaine
Vienne,F,Centre-Val de Loire
Cher,F,Auvergne-Rhône-Alpes
Cher,F,Nouvelle-Aquitaine
Cher,F,Centre-Val de Loire
Allier,F,Auvergne-Rhône-Alpes
Allier,F,Centre-Val de Loire
Allier,F,Bourgogne-Franche-Comté
Allier,F,Occitanie
Garonne,F,Nouvelle-Aquitaine
Garonne,F,Occitanie
Garonne,E,Catalunya
Rhone,F,Auvergne-Rhône-Alpes
Rhone,F,Provence-Alpes-Côte d'Azur
Rhone,F,Occitanie
Rhone,CH,Genève
Rhone,CH,Valais
Rhone,CH,Vaud
Saone,F,Auvergne-Rhône-Alpes
Saone,F,Grand Est
Saone,F,Bourgogne-Franche-Comté
Doubs,F,Bourgogne-Franche-Comté
Doubs,CH,Jura
Isere,F,Auvergne-Rhône-Alpes
Durance,F,Provence-Alpes-Côte d'Azur
Mino,E,Galicia
Mino,P,Viana do Castelo
Douro,E,Castilla y León
