name,islands,area,elevation,coordinates
Svalbard,Svalbard,39044,1713,"(78.9,18.2)"
Greenland,,2175600,3694,"(70,-40)"
Hans Island,,1.3,169,"(80.83,-66.36)"
Iceland,,102829,2110,"(65,-18)"
Austvågøy,Lofotes,526,1146,"(68.3,14.6)"
Streymoy,Faroe Islands,373,789,"(62,-7)"
Ireland,British Isles,84421,1041,"(53.5,-7.8)"
Great Britain,British Isles,219331,1344,"(53,-1.5)"
Shetland Mainland,Shetland Islands,970,449,"(60.3,-1.3)"
Orkney Mainland,Orkney Islands,492,271,"(59,-3.1)"
South Ronaldsay,Orkney Islands,50,118,"(58.6,-3.1)"
Hoy,Orkney Islands,143,479,"(59.1,-3.2)"
Westray,Orkney Islands,47,169,"(59.4,-3)"
Barra,Outer Hebrides,91,383,"(57,-7.7)"
South Uist,Outer Hebrides,320,620,"(57.2,-7.2)"
Benbecula,Outer Hebrides,82,124,"(57.45,-7.3)"
North Uist,Outer Hebrides,303,347,"(57.4,-7.1)"
Lewis and Harris,Outer Hebrides,2170,799,"(57.9,-6.8)"
Skye,Inner Hebrides,1385,993,"(57.3,-6.3)"
Rhum,Inner Hebrides,104,810,"(57,-6.3)"
Mull,Inner Hebrides,910,875,"(56.45,-6.0)"
Tiree,Inner Hebrides,78,141,"(56.5,-6.9)"
Islay,Inner Hebrides,619.6,491,"(55.8,-6.2)"
Jura,Inner Hebrides,367,785,"(56,-6)"
Arran,Inner Hebrides,430,874,"(55.3,-5.5)"
Isle of Man,British Isles,588,621,"(54.1,-4.5)"
Anglesey,British Isles,715,220,"(53.3,-4.4)"
Isle of Wight,British Isles,381,241,"(50.6,-1.3)"
Guernsey,Channel Islands,194,111,"(49.6,-2.6)"
Jersey,Channel Islands,117,136,"(49.2,-2.1)"
Gotland,,3140,82,"(57.5,18.5)"
Öland,,1344,55,"(57,17)"
Åland,Åland Islands,685,129,"(60.1,20)"
Hiumaa,,965,68,"(58.8,22.7)"
Ösel,,2714,54,"(58.3,22)"
Seeland,,7439,122,"(55.3,12)"
Fünen,,2976,131,"(55.35,10.25)"
Langeland,,284,46,"(55,10.5)"
Falster,,514,44,"(54.8,12)"
Lolland,,1241,25,"(54.4,11.5)"
Bornholm,,588,162,"(55.1,14.9)"
Fehmarn,,185,27.2,"(54.4,11.2)"
Rügen,,926,161,"(54.5,13.4)"
Usedom,,445,69,"(53.9,14.1)"
Helgoland,,1.7,61.3,"(54.2,7.9)"
Sylt,Nordfriesische Inseln,99,52.5,"(54.9,8.3)"
Föhr,Nordfriesische Inseln,82,13,"(54.7,8.5)"
Amrum,Nordfriesische Inseln,20.5,32,"(54.65,8.3)"
Pellworm,Nordfriesische Inseln,37.4,2,"(54.5,8.6)"
Wangerooge,Ostfriesische Inseln,7.9,17,"(53.8,7.9)"
Spiekeroog,Ostfriesische Inseln,18.2,3,"(53.8,7.6)"
Langeoog,Ostfriesische Inseln,20,5,"(53.65,7.5)"
Baltrum,Ostfriesische Inseln,6.5,5,"(53.6,7.4)"
Norderney,Ostfriesische Inseln,26.3,5,"(53.7,7.9)"
Juist,Ostfriesische Inseln,16.4,3,"(53.6,7.0)"
Borkum,Ostfriesische Inseln,31,6,"(53.6,6.7)"
Schiermonnikoog,Westfriesische Inseln,40,4,"(53.5,6.2)"
Ameland,Westfriesische Inseln,57.6,4,"(53.5,5.75)"
Terschelling,Westfriesische Inseln,88,6,"(53.4,5.3)"
Vlieland,Westfriesische Inseln,40,3,"(53.25,5)"
Texel,Westfriesische Inseln,162,15,"(53.1,4.8)"
Zitny Ostrov,,1885,134,"(47.95,17.65)"
Maly Zitny Ostrov,,375,125,"(47.85,17.45)"
Margit Sziget,,1,105,"(47.5,19.05)"
Veliko Ratno Ostrvo,,1.57,75,"(44.8,20.45)"
Krk,Adriatic Islands,406,568,"(45.07,14.6)"
Cres,Adriatic Islands,406,639,"(44.96,14.41)"
Brač,Adriatic Islands,396,780,"(43.32,16.63)"
Korčula,Adriatic Islands,271,568,"(42.93,16.85)"
Korfu,Ionic Islands,593,906,"(39.6,19.8)"
Lefkas,Ionic Islands,293,1158,"(38.7,20.6)"
Kefallinia,Ionic Islands,689,1628,"(38.2,20.6)"
Zakynthos,Ionic Islands,406,756,"(37.8,20.75)"
Euboea,,3684,1743,"(38.5,24)"
Samothraki,Sporades,180,1611,"(40.5,25.5)"
Lesbos,Sporades,1636,968,"(39.2,26.3)"
Chios,Sporades,843,1297,"(38.4,26.2)"
Samos,Sporades,478,1434,"(37.7,26.8)"
Ikaria,Sporades,255,1037,"(37.6,26.2)"
Kos,Sporades,287,846,"(36.8,27.1)"
Rhodos,Sporades,1401,1215,"(36.2,28)"
Syros,Kyklades,84,442,"(37.45,24.9)"
Mykonos,Kyklades,105,341,"(37.45,25.4)"
Crete,,8331,2456,"(37,25)"
Cyprus,,9251,1952,"(35.4,33.2)"
Corse,,8680,2706,"(41.4,8.4)"
Elba,,224,1019,"(42.75,10.3)"
Sardegna,,24090,1834,"(40,9)"
Alicudi,Lipari Islands,5.2,675,"(38.6,14.4)"
Filicudi,Lipari Islands,9.5,774,"(38.6,14.55)"
Salina,Lipari Islands,26.8,962,"(38.6,14.9)"
Lipari,Lipari Islands,37.5,602,"(38.5,14.95)"
Vulcano,Lipari Islands,21.2,499,"(38.4,15.0)"
Panarea,Lipari Islands,3.4,421,"(38.65,15.05)"
Stromboli,Lipari Islands,12.6,926,"(38.8,15.15)"
Sicilia,,25462,3323,"(37,14)"
Lampedusa,,20,113,"(35.4,13.2)"
Linosa,,5,195,"(35.85,13.85)"
Malta,Malta,246,252,"(35.9,14.5)"
Gozo,Malta,67,176,"(36.05,14.3)"
Djerba,,514,53,"(33.8,10.85)"
Menorca,Baleares,760,358,"(40,4)"
Mallorca,Baleares,3618,1445,"(39.3,3)"
Ibiza,Baleares,572,476,"(38.5,1.5)"
Formentera,Baleares,83,192,"(38.0,1.5)"
Lanzarote,Canares,846,671,"(29,-13.6)"
Fuerteventura,Canares,1660,807,"(28.4,-14)"
Gran Canaria,Canares,1560,1949,"(28,-15.6)"
Teneriffa,Canares,2034,3718,"(28.3,-16.6)"
Gomera,Canares,369,1487,"(28.1,-17.3)"
Hierro,Canares,268,1501,"(27.7,-18)"
La Palma,Canares,708,2426,"(28.7,-17.9)"
Madeira,Madeira,794,1861,"(31,-16)"
Porto Santo,Madeira,42,517,"(33,-16.35)"
Sao Miguel,Azores,747,1105,"(37.7,-25.5)"
Santa Maria,Azores,97,586,"(37,-25.1)"
Terceira,Azores,400,1022,"(38.7,-27.2)"
Sao Jorge,Azores,233.5,1053,"(38.6,-28)"
Pico,Azores,442,2351,"(38.5,-28.4)"
Faial,Azores,172,1043,"(38.6,-28.7)"
Graciosa,Azores,61,402,"(39,-28)"
Flores (Azores),Azores,143,914,"(39.5,-31.2)"
Corvo,Azores,17.5,718,"(39.7,-31.1)"
Santiago,Cape Verdes,991,1394,"(15.1,-23.6)"
Fogo,Cape Verdes,476,2829,"(17.95,-24.4)"
St. Mary's Island,,12,5,"(13.45,-16.57)"
Sao Tome,,859,2024,"(0.2,6.6)"
Principe,,142,927,"(1.6,7.4)"
Bioko,,2017,3011,"(3.5,8.7)"
Saint Helena,,123,818,"(-15.95,-5.72)"
Ascension,,88,859,"(-7.9,-14.4)"
Tristan Da Cunha,,98,2062,"(-37.1,-12.3)"
West Falkland,Falkland Islands,4532,700,"(-51.8,-60.1)"
East Falkland,Falkland Islands,6605,705,"(-51.8,-58.8)"
Bahrain,,620,135,"(26,50.5)"
Khark,,20.5,70,"(29.1,50.2)"
Qeshm,,1491,397,"(26.69,55.62)"
Christmas Island,,135,350,"(-10.25,105.43)"
Pulau Panjang,Cocos Islands,6.23,9,"(-12.2,96.9)"
Male,Maldives,2.74,1,"(2,72)"
Salsette,,619,467,"(19.2,72.9)"
Kavaratti,Laccadives,6,2,"(10.6,72.6)"
Sri Lanka,,65610,2524,"(7,80)"
South Andaman Island,Andaman Islands,1210,366,"(11.78,92.5)"
Sokotra,,3579,1519,"(12.5,53.9)"
Unguja,,1658,135,"(-6.1,39.3)"
Pemba,,984,95,"(-5.2,39.7)"
Mafia,,435,53,"(-7.85,39.6)"
Ukerewe,,530,1320,"(-2.05,33.1)"
Mahe,Seychelles,154,905,"(-4.65,55.5)"
Grand Comoro,Comores,1148,2361,"(-11.7,43.4)"
Anjouan,Comores,424,1595,"(-12.2,44.35)"
Mohéli,Comores,290,790,"(-12.25,43.75)"
Mayotte,Comores,374,660,"(-12.46,45.13)"
Reunion,,2510,3069,"(-20.9,55.5)"
Mauritius,,1860,828,"(-20,57)"
Madagaskar,,587041,2876,"(-20,46)"
Impalila,,18,818,"(-17.77,25.23)"
Novaya Zemlya Severny Island,,48904,1547,"(75.5,60)"
Novaya Zemlya Yuzhny Island,,33275,1342,"(72,54)"
Kotelny Island,,11665,374,"(75.4,141)"
Wrangel Island,,7600,1096,"(71.23,-179.4)"
Olkhon,,730,1276,"(53.15,107.4)"
Atlasov,Curiles,119,2285,"(50.86,155.56)"
Paramushir,Curiles,2042,1816,"(50.5,155.75)"
Onekotan,Curiles,315,1325,"(49.45,154.75)"
Krenizyn,,10,1325,"(49.35,154.71)"
Iturup,Curiles,3139,1634,"(45.00,147.60)"
Kunashir,Curiles,1490,1822,"(44.15,145.90)"
Sachalin,,76400,1609,"(50,143)"
Hokkaido,Japan,83456,2290,"(43.3,143)"
Honshu,Japan,230500,3776,"(36.3,138.6)"
Kyushu,Japan,35640,1756,"(32,131)"
Shikoku,Japan,18800,1982,"(34,134)"
Awajishima,Japan,592,608,"(34.4,134.8)"
Okinawa,Japan,2255,503,"(26,128)"
Nishinoshima,,3.7,100,"(27.5,140.88)"
Jeju,,1845,1950,"(33.4,126.5)"
Hongkong Island,,79.9,552,"(22.25,114.18)"
Lantau,,146.4,934,"(22.27,113.95)"
Taiwan,,35801,3950,"(24,121)"
Great Kinmen,,134,230,"(24.43,118.33)"
Xiamen,,131,339,"(24.5,118.13)"
Taipa,,7.6,159,"(22.16,113.35)"
Coloane,,7.6,170,"(22.12,113.35)"
Hainan,,34380,1840,"(19.1,109.6)"
Zhoushan,,502,503,"(30.05,122.15)"
Chongming,,1267,9,"(31.63,121.55)"
Luzon,Philippines,108172,2922,"(16.1,121)"
Taal Volcano Island,,23,311,"(14.00,121.00)"
Taal Vulcan Point,,0.0004,10,"(14.00,121.00)"
Mindoro,Philippines,10244,2586,"(13,121.1)"
Sibuyan,Philippines,445,2058,"(12.4,122.55)"
Panay,Philippines,12297,2117,"(11.15,122.5)"
Negros,Philippines,13328,2435,"(10,123)"
Cebu,Philippines,5088,1013,"(10.4,123.8)"
Bohol,Philippines,4117,870,"(9.9,124.2)"
Leyte,Philippines,7368,1303,"(11,124.9)"
Samar,Philippines,13080,850,"(12,125.1)"
Mindanao,Philippines,95581,2954,"(7.55,124.9)"
Palawan,Philippines,11785,2085,"(9.5,118.4)"
Jolo,Philippines,853,811,"(6,121.14)"
Ujong,,584.8,176,"(1.3,103.833)"
Penang,,292,810,"(5.4,100.25)"
Ko Samui,,229,635,"(9.5,100)"
Phuket,,576,529,"(7.4,98.4)"
Sumatra,Sunda Islands,473000,3805,"(0,102)"
Samosir,,852,1630,"(2.6,98.85)"
Batam,Riau Islands,415,160,"(1.1,104.05)"
Bintan,Riau Islands,1173,348,"(1.1,104.5)"
Bangka,Sunda Islands,11942,700,"(2.25,106)"
Krakatau,Sunda Islands,,813,"(-6.1,105.6)"
Java,Sunda Islands,126650,3676,"(-7.5,111.25)"
Labuan,Sunda Islands,91,148,"(5.3,115.2)"
Borneo,Sunda Islands,743122,4101,"(-0.2,113.67)"
Madura,Sunda Islands,4078,471,"(-7.0,113.33)"
Bali,Sunda Islands,5561,3142,"(-8.4,115.1)"
Lombok,Sunda Islands,4725,3726,"(-8.4,116.5)"
Sumbawa,Sunda Islands,15448,2850,"(-8.8,116.1)"
Sangeang,Sunda Islands,153,1949,"(-8.97,119.07)"
Flores,Sunda Islands,15175,2370,"(-8.62,121.13)"
Sumba,Sunda Islands,11060,1225,"(-9.7,120.0)"
Timor,Sunda Islands,33850,2963,"(-9.2,124.9)"
Sulawesi,Sunda Islands,189216,3455,"(-2.1,120.3)"
Buru,Moluccan Islands,9505,2428,"(-3.4,126.66)"
Ambon,Moluccan Islands,775,1023,"(-3.7,128.2)"
Ceram,Moluccan Islands,17100,3027,"(-2,128)"
Halmahera,Moluccan Islands,18040,1635,"(0.6,127.9)"
Ternate,Moluccan Islands,137,1715,"(0.8,127.3)"
New Guinea,,786000,4884,"(-5,142)"
Goodenough Island,,687,2536,"(-9.37,150.27)"
New Britain,Bismarck Islands,36520,2438,"(-5.7,150.7)"
Duke of York Island,Bismarck Islands,51.8,4,"(-4.17,152.45)"
New Ireland,Bismarck Islands,7404,2379,"(-3.33,152.0)"
Buka,Solomon Islands,500,498,"(-5.25,154.63)"
Bougainville,Solomon Islands,8800,2715,"(-6.2,155.25)"
Guadalcanal,Solomon Islands,5358,2335,"(-9.6,160.2)"
Kolombangara,Solomon Islands,705,1770,"(-7.97,157.06)"
Choiseul,Solomon Islands,3294,1067,"(-7.00,156.96)"
Santa Isabel,Solomon Islands,2999,1220,"(-8.00,159.03)"
Malaita,Solomon Islands,4307,1435,"(-9.00,161.00)"
Makira,Solomon Islands,3190,1250,"(-10.44,161.88)"
Rennell Island,,660,150,"(-11.66,160.16)"
Grande Terre,New Caledonia,16372,1629,"(-22.16,166.27)"
Cangaroo Island,,4405,307,"(-35.8,137.3)"
Melville Island,,5800,,"(-12,131)"
Lord Howe Island,,14.6,875,"(-31.55,159.08)"
Ball's Pyramid,,0.2,562,"(-31.75,159.25)"
Tasmania,,67800,1617,"(-42,145)"
Victoria Island,Canadian Arctic Islands,212291,665,"(70.75,-110.1)"
Banks Island,Canadian Arctic Islands,70028,730,"(72.85,-122.1)"
Prince of Wales Island,Canadian Arctic Islands,33339,320,"(72.6,-98.55)"
Baffin Island,Canadian Arctic Islands,507451,2147,"(69,-72)"
Southampton Island,Canadian Arctic Islands,41214,625,"(64.5,-84.5)"
Ellesmere Island,Canadian Arctic Islands,196236,2616,"(79.25,-79.6)"
Devon Island,Canadian Arctic Islands,55247,1920,"(75.1,-87.85)"
Saint Pierre,,26,207,"(47,-56)"
Miquelon-Langlade,,205,240,"(47.1,-56.3)"
Newfoundland,,108860,814,"(48.6,-55.8)"
Prince Edward Island,,5660,142,"(46.3,-63.4)"
Rene Levasseur Island,,2020,952,"(51.4,-68.7)"
Île de Montréal,,499,233,"(45.52,-73.63)"
Île Jésus,,242,50,"(45.62,-73.72)"
Teresa Island,,,2062,"(59.43,-133.79)"
Manitoulin,,2766,352,"(45.75,-82.2)"
Treasure Island,,0.45,225,"(45.76,-82.18)"
Marthas Vineyard,,232,95,"(41.4,-70.6)"
Nantucket,,125,9,"(41.5,-70.1)"
Long Island,,3566,122,"(40.8,-73.3)"
Manhattan,,59.5,81,"(40.76,-74.00)"
Staten Island,,265.5,125,"(40.56,-74.15)"
Unalaska,Aleutes,2721,2036,"(53.9,-166.53)"
Unimak,Aleutes,4070,2857,"(54.76,-164.13)"
Vancouver Island,,31285,2195,"(49.6,-125.65)"
Santa Cruz Island,Californian Channel Islands,245,747,"(34,-119.7)"
Santa Catalina Island,Californian Channel Islands,194,648,"(33.2,-118.2)"
Santa Rosa Island,Californian Channel Islands,215,484,"(34,-120.1)"
San Clemente Island,Californian Channel Islands,147,599,"(33,-118.5)"
San Miguel Island,Californian Channel Islands,37,259,"(33,-120.4)"
Grand Bermuda,Bermuda Islands,53.3,79,"(32.17,-64.47)"
New Providence,Bahama Islands,207,5,"(25,-77.4)"
Grand Turk,Turks and Caicos Islands,14,20,"(21.28,-71.08)"
Providenciales,Turks and Caicos Islands,98,49,"(22,-72.3)"
North Caicos,Turks and Caicos Islands,116,20,"(22.1,-72.1)"
Cuba,Greater Antilles,105806,1974,"(22,-79)"
Isla de la Juventud,Greater Antilles,2204,310,"(21.75,-82.85)"
Jamaica,Greater Antilles,10991,2256,"(18.1,-77.3)"
Hispaniola,Greater Antilles,76192,3098,"(19,-70.7)"
Puerto Rico,Greater Antilles,8870,1338,"(18.49,-66.12)"
Tortola,Lesser Antilles,55,521,"(18.27,-64.37)"
Saint Thomas,Lesser Antilles,32,474,"(18.3,-64.9)"
Saint Croix,Lesser Antilles,82,355,"(17.75,-64.75)"
Anguilla,Lesser Antilles,96,65,"(18,-64)"
St. Martin,Lesser Antilles,87,411,"(18.1,-63.1)"
St. Barthelemy,Lesser Antilles,21,286,"(17.9,-62.82)"
Saint Kitts,Lesser Antilles,164,1156,"(17.3,-62.75)"
Nevis,Lesser Antilles,93,985,"(17,-62.3)"
Barbuda,Lesser Antilles,161,38,"(17.3,-61.4)"
Antigua,Lesser Antilles,281,400,"(17.05,-61.8)"
Montserrat,Lesser Antilles,102,1050,"(16.42,-62.13)"
Basse-Terre,Lesser Antilles,848,1467,"(16.15,-61.8)"
Grande-Terre,Lesser Antilles,589,136,"(16.3,-61.4)"
Dominica,Lesser Antilles,746,1447,"(15.4,-61.35)"
Martinique,Lesser Antilles,1128,1397,"(14.6,-61.0)"
Saint Lucia,Lesser Antilles,616,950,"(14,-60.5)"
Saint Vincent,Lesser Antilles,346,1300,"(13.25,-61.3)"
Barbados,Lesser Antilles,430,336,"(13,-59.3)"
Grenada,Lesser Antilles,344,840,"(12,-62)"
Trinidad,Lesser Antilles,4827,940,"(10.4,-61.35)"
Tobago,Lesser Antilles,301,576,"(11.25,-60.7)"
Isla Margarita,Lesser Antilles,957,920,"(11.02,-63.92)"
Bonaire,Lesser Antilles,294,185,"(12.15,-68.3)"
Curacao,Lesser Antilles,444,375,"(12.2,-69)"
Aruba,Lesser Antilles,193,188,"(12.31,-70.02)"
Grand Cayman,Cayman Islands,197,20,"(19.18,-81.23)"
Little Cayman,Cayman Islands,20,14,"(19.8,-80)"
Cayman Brac,Cayman Islands,30,43,"(19.7,-79.8)"
San Andres,,26,85,"(12.5,-81.7)"
Isla da Ometepe,,270,1700,"(11.5,-85.6)"
Isabela,Galapagos,5436,1707,"(-1,-91.3)"
Amantaní,,9.28,4138,"(-15.66,-69.71)"
Marajó,,40100,40,"(-0.985,-49.6)"
Ilha de São Luís,,1410,30,"(-2.60,-44.23)"
Ilha do Bananal,,19162,189,"(-11.3,-50.4)"
Ilha de Vitória,,89,300,"(-20.29,-40.32)"
Ilha de São Vicente,,57.4,180,"(-23.95,-46.35)"
Ilha de Sãnto Amaro,,143,320,"(-23.95,-46.23)"
Ilha de Santa Catarina,,424,532,"(-27.6,-48.55)"
Chiloé,,9322,866,"(-42.6,-73.95)"
Tierra del Fuego,,47992,2488,"(-53.85,-68.55)"
Niihau,Hawaii Islands,178,381,"(21.9,-160.1)"
Kauai,Hawaii Islands,1433,1598,"(22,-159.5)"
Oahu,Hawaii Islands,1557,1220,"(21.5,-158)"
Molokai,Hawaii Islands,676,1512,"(21.1,-157)"
