island,sea
Svalbard,Norwegian Sea
Svalbard,Greenland Sea
Svalbard,Arctic Ocean
Svalbard,Barents Sea
Greenland,Atlantic Ocean
Greenland,Greenland Sea
Greenland,Arctic Ocean
Greenland,Labrador Sea
Greenland,Baffin Bay
Hans Island,Arctic Ocean
Iceland,Atlantic Ocean
Iceland,Norwegian Sea
Iceland,Greenland Sea
Austvågøy,Norwegian Sea
Streymoy,Atlantic Ocean
Streymoy,Norwegian Sea
Ireland,Atlantic Ocean
Ireland,Irish Sea
Great Britain,Atlantic Ocean
Great Britain,The Channel
Great Britain,Irish Sea
Great Britain,North Sea
Shetland Mainland,North Sea
Shetland Mainland,Norwegian Sea
Orkney Mainland,North Sea
South Ronaldsay,North Sea
Hoy,North Sea
Westray,North Sea
Barra,Atlantic Ocean
South Uist,Atlantic Ocean
Benbecula,Atlantic Ocean
North Uist,Atlantic Ocean
Lewis and Harris,Atlantic Ocean
Skye,Atlantic Ocean
Rhum,Atlantic Ocean
Mull,Atlantic Ocean
Tiree,Atlantic Ocean
Islay,Atlantic Ocean
Jura,Atlantic Ocean
Arran,Atlantic Ocean
Isle of Man,Irish Sea
Anglesey,Irish Sea
Isle of Wight,The Channel
Guernsey,The Channel
Jersey,The Channel
Gotland,Baltic Sea
Öland,Baltic Sea
Åland,Baltic Sea
Hiumaa,Baltic Sea
Ösel,Baltic Sea
Seeland,Kattegat
Seeland,Baltic Sea
Fünen,Kattegat
Fünen,Baltic Sea
Langeland,Baltic Sea
Falster,Baltic Sea
Lolland,Baltic Sea
Bornholm,Baltic Sea
Fehmarn,Baltic Sea
Rügen,Baltic Sea
Usedom,Baltic Sea
Helgoland,North Sea
Sylt,North Sea
Föhr,North Sea
Amrum,North Sea
Pellworm,North Sea
Wangerooge,North Sea
Spiekeroog,North Sea
Langeoog,North Sea
Baltrum,North Sea
Norderney,North Sea
Juist,North Sea
Borkum,North Sea
Schiermonnikoog,North Sea
Ameland,North Sea
Terschelling,North Sea
Vlieland,North Sea
Texel,North Sea
Krk,Mediterranean Sea
Cres,Mediterranean Sea
Brač,Mediterranean Sea
Korčula,Mediterranean Sea
Korfu,Mediterranean Sea
Lefkas,Mediterranean Sea
Kefallinia,Mediterranean Sea
Zakynthos,Mediterranean Sea
Euboea,Mediterranean Sea
Samothraki,Mediterranean Sea
Lesbos,Mediterranean Sea
Chios,Mediterranean Sea
Samos,Mediterranean Sea
Ikaria,Mediterranean Sea
Kos,Mediterranean Sea
Rhodos,Mediterranean Sea
Syros,Mediterranean Sea
Mykonos,Mediterranean Sea
Crete,Mediterranean Sea
Cyprus,Mediterranean Sea
Corse,Mediterranean Sea
Elba,Mediterranean Sea
Sardegna,Mediterranean Sea
Alicudi,Mediterranean Sea
Filicudi,Mediterranean Sea
Salina,Mediterranean Sea
Lipari,Mediterranean Sea
Vulcano,Mediterranean Sea
Panarea,Mediterranean Sea
Stromboli,Mediterranean Sea
Sicilia,Mediterranean Sea
Lampedusa,Mediterranean Sea
Linosa,Mediterranean Sea
Malta,Mediterranean Sea
Gozo,Mediterranean Sea
Djerba,Mediterranean Sea
Menorca,Mediterranean Sea
Mallorca,Mediterranean Sea
Ibiza,Mediterranean Sea
Formentera,Mediterranean Sea
Lanzarote,Atlantic Ocean
Fuerteventura,Atlantic Ocean
Gran Canaria,Atlantic Ocean
Teneriffa,Atlantic Ocean
Gomera,Atlantic Ocean
Hierro,Atlantic Ocean
La Palma,Atlantic Ocean
Madeira,Atlantic Ocean
Porto Santo,Atlantic Ocean
Sao Miguel,Atlantic Ocean
Santa Maria,Atlantic Ocean
Terceira,Atlantic Ocean
Sao Jorge,Atlantic Ocean
Pico,Atlantic Ocean
Faial,Atlantic Ocean
Graciosa,Atlantic Ocean
Flores (Azores),Atlantic Ocean
Corvo,Atlantic Ocean
Santiago,Atlantic Ocean
Fogo,Atlantic Ocean
St. Mary's Island,Atlantic Ocean
Sao Tome,Atlantic Ocean
Principe,Atlantic Ocean
Bioko,Atlantic Ocean
Saint Helena,Atlantic Ocean
Ascension,Atlantic Ocean
Tristan Da Cunha,Atlantic Ocean
West Falkland,Atlantic Ocean
East Falkland,Atlantic Ocean
Bahrain,Persian Gulf
Khark,Persian Gulf
Qeshm,Gulf of Oman
Qeshm,Persian Gulf
Christmas Island,Indian Ocean
Pulau Panjang,Indian Ocean
Male,Indian Ocean
Salsette,Arabian Sea
Kavaratti,Arabian Sea
Sri Lanka,Indian Ocean
Sri Lanka,Gulf of Bengal
South Andaman Island,Gulf of Bengal
South Andaman Island,Andaman Sea
Sokotra,Indian Ocean
Sokotra,Arabian Sea
Sokotra,Gulf of Aden
Unguja,Indian Ocean
Pemba,Indian Ocean
Mafia,Indian Ocean
Mahe,Indian Ocean
Grand Comoro,Indian Ocean
Anjouan,Indian Ocean
Mohéli,Indian Ocean
Mayotte,Indian Ocean
Reunion,Indian Ocean
Mauritius,Indian Ocean
Madagaskar,Indian Ocean
Novaya Zemlya Severny Island,Arctic Ocean
Novaya Zemlya Severny Island,Barents Sea
Novaya Zemlya Severny Island,Kara Sea
Novaya Zemlya Yuzhny Island,Barents Sea
Novaya Zemlya Yuzhny Island,Kara Sea
Kotelny Island,Arctic Ocean
Kotelny Island,Laptev Sea
Kotelny Island,East Sibirian Sea
Wrangel Island,Arctic Ocean
Wrangel Island,East Sibirian Sea
Wrangel Island,Chukchi Sea
Atlasov,Sea of Okhotsk
Paramushir,Pacific Ocean
Paramushir,Sea of Okhotsk
Onekotan,Pacific Ocean
Onekotan,Sea of Okhotsk
Iturup,Pacific Ocean
Iturup,Sea of Okhotsk
Kunashir,Pacific Ocean
Kunashir,Sea of Okhotsk
Sachalin,Sea of Okhotsk
Sachalin,Sea of Japan
Hokkaido,Pacific Ocean
Hokkaido,Sea of Okhotsk
Hokkaido,Sea of Japan
Honshu,Pacific Ocean
Honshu,Sea of Japan
Kyushu,Pacific Ocean
Kyushu,Sea of Japan
Kyushu,East China Sea
Shikoku,Pacific Ocean
Awajishima,Seto Inland Sea
Okinawa,Pacific Ocean
Okinawa,East China Sea
Nishinoshima,Pacific Ocean
Jeju,East China Sea
Hongkong Island,South China Sea
Lantau,South China Sea
Taiwan,Pacific Ocean
Taiwan,East China Sea
Taiwan,South China Sea
Great Kinmen,South China Sea
Xiamen,South China Sea
Taipa,South China Sea
Coloane,South China Sea
Hainan,South China Sea
Zhoushan,East China Sea
Chongming,East China Sea
Luzon,Pacific Ocean
Luzon,South China Sea
Mindoro,South China Sea
Mindoro,Sulu Sea
Sibuyan,Sulu Sea
Panay,Sulu Sea
Negros,Sulu Sea
Cebu,Sulu Sea
Bohol,Sulu Sea
Leyte,Pacific Ocean
Leyte,Sulu Sea
Samar,Pacific Ocean
Samar,Sulu Sea
Mindanao,Pacific Ocean
Mindanao,Sulawesi Sea
Mindanao,Sulu Sea
Palawan,South China Sea
Palawan,Sulu Sea
Jolo,Sulawesi Sea
Jolo,Sulu Sea
Ujong,South China Sea
Ujong,Malakka Strait
