name,country,province,population,latitude,longitude,elevation
Tirana,AL,Albania,418495,41.33,19.82,110
Shkodër,AL,Albania,77075,42.07,19.5,13
Durrës,AL,Albania,113249,41.32,19.45,40
Vlorë,AL,Albania,79513,40.47,19.49,25
Elbasan,AL,Albania,78703,41.1,20.07,150
Korçë,AL,Albania,51152,40.62,20.77,850
Komotini,GR,Anatolikis Makedonias kai Thrakis,,41.1,25.42,45
Kavala,GR,Anatolikis Makedonias kai Thrakis,58790,40.93,24.4,20
Athina,GR,Attikis,664046,37.97,23.72,70
Peiraias,GR,Attikis,163688,37.95,23.63,10
Peristeri,GR,Attikis,139981,38.02,23.68,50
Acharnes,GR,Attikis,106943,38.08,23.73,186
Patra,GR,Dytikis Elladas,213984,38.25,21.73,10
Kozani,GR,Dytikis Makedonias,,40.3,21.78,710
Kerkyra,GR,Ionion Nison,,39.58,19.87,20
Ioannina,GR,Ipeiroy,112486,39.67,20.85,480
Thessaloniki,GR,Kentrikis Makedonias,325182,40.65,22.9,5
Iraklio,GR,Kritis,173993,35.33,25.13,10
Chania,GR,Kritis,108642,35.52,24.02,20
Ermoupoli,GR,Notioy Aigaioy,,37.43,24.92,20
Rhodes,GR,Notioy Aigaioy,115490,36.43,28.22,26
Tripoli,GR,Peloponnisos,,37.52,22.38,655
Lamia,GR,Stereas Elladas,75315,38.9,22.43,50
Chalkida,GR,Stereas Elladas,102223,38.47,23.6,5
Larissa,GR,Thessalias,162591,39.64,22.42,67
Volos,GR,Thessalias,144449,39.37,22.93,5
Mytilini,GR,Boreioy Aigaioy,,39.1,26.55,8
Karyes,GR,Aghion Oros,233,40.26,24.24,370
Nicosia,CY,Cyprus,55014,35.17,33.37,220
Larnaka,CY,Cyprus,51468,34.92,33.63,10
Lemesos,CY,Cyprus,101000,34.67,33.03,
Episkopi Cantonment,AD,Akrotiri and Dhekelia,,34.69,32.85,30
Skopje,MK,North Macedonia,422540,42,21.43,240
Kumanovo,MK,North Macedonia,75051,42.14,21.72,340
Beograd,SRB,Serbia,1166763,44.82,20.47,117
Novi Sad,SRB,Serbia,231798,45.25,19.85,72
Kragujevac,SRB,Serbia,150835,44.02,20.91,18095
Niš,SRB,Serbia,183164,43.32,21.9,195
Podgorica,MNE,Montenegro,150977,42.44,19.26,48
Prishtine,KOS,Kosovo,198214,42.67,21.17,652
Andorra la Vella,AND,Andorra,19659,42.5,1.5,1023
Paris,F,Île-de-France,2249975,48.86,2.35,28
Boulogne-Billancourt,F,Île-de-France,116220,48.84,2.24,28
Argenteuil,F,Île-de-France,104282,48.95,2.25,21
Montreuil,F,Île-de-France,103068,48.86,2.44,52
Saint-Denis,F,Île-de-France,111354,48.95,2.35,23
Clermont-Ferrand,F,Auvergne-Rhône-Alpes,140957,45.78,3.08,321
Lyon,F,Auvergne-Rhône-Alpes,491268,45.76,4.84,162
Grenoble,F,Auvergne-Rhône-Alpes,157424,45.2,5.72,212
Saint-Étienne,F,Auvergne-Rhône-Alpes,170049,45.43,4.39,422
Villeurbanne,F,Auvergne-Rhône-Alpes,145034,45.77,4.88,165
Bordeaux,F,Nouvelle-Aquitaine,239399,44.84,-0.58,10
Limoges,F,Nouvelle-Aquitaine,137758,45.84,1.26,209
Lille,F,Hauts-de-France,227533,50.63,3.06,17
Amiens,F,Hauts-de-France,133327,49.89,2.3,14
Calais,F,Hauts-de-France,75293,50.95,1.85,6
Marseille,F,Provence-Alpes-Côte d'Azur,850636,43.3,5.37,10
Nice,F,Provence-Alpes-Côte d'Azur,344064,43.7,7.27,10
Toulon,F,Provence-Alpes-Côte d'Azur,163974,43.13,5.92,10
Aix-en-Provence,F,Provence-Alpes-Côte d'Azur,140684,43.53,5.45,73
Rennes,F,Bretagne,208033,48.11,-1.68,20
Brest,F,Bretagne,140547,48.39,-4.49,10
Orléans,F,Centre-Val de Loire,114185,47.9,1.91,90
Tours,F,Centre-Val de Loire,134633,47.39,0.69,44
Nantes,F,Pays de la Loire,287845,47.22,-1.55,5
Angers,F,Pays de la Loire,148803,47.47,-0.55,12
Le Mans,F,Pays de la Loire,143240,48.01,0.2,38
Strasbourg,F,Grand Est,272222,48.58,7.75,132
Mulhouse,F,Grand Est,110351,47.75,7.34,232
Metz,F,Grand Est,119962,49.12,6.18,162
Nancy,F,Grand Est,105382,48.69,6.18,188
Reims,F,Grand Est,180752,49.26,4.03,80
Rouen,F,Normandie,111553,49.44,1.1,2
Le Havre,F,Normandie,174156,49.49,0.1,5
Caen,F,Normandie,108793,49.18,-0.37,5
Dijon,F,Bourgogne-Franche-Comté,151672,47.29,5.04,220
Besançon,F,Bourgogne-Franche-Comté,115879,47.24,6.02,235
Toulouse,F,Occitanie,447340,43.6,1.44,115
Montpellier,F,Occitanie,264538,43.61,3.88,7
Nîmes,F,Occitanie,144940,43.84,4.36,21
Perpignan,F,Occitanie,118238,42.7,2.9,8
Ajaccio,F,Corse,66245,41.93,8.74,20
Sevilla,E,Andalucía,684340,37.38,-5.99,12
Almería,E,Andalucía,200273,36.84,-2.47,27
Cádiz,E,Andalucía,114442,36.53,-6.28,11
Córdoba,E,Andalucía,322327,37.88,-4.77,120
Granada,E,Andalucía,233680,37.18,-3.6,738
Huelva,E,Andalucía,142668,37.25,-6.95,54
Málaga,E,Andalucía,578063,36.72,-4.42,11
Jerez de la Frontera,E,Andalucía,213616,36.7,-6.12,56
Jaén,E,Andalucía,111915,37.77,-3.77,573
Algeciras,E,Andalucía,123435,36.13,-5.45,20
Marbella,E,Andalucía,149032,36.52,-4.88,27
Dos Hermanas,E,Andalucía,136296,37.28,-5.92,42
Zaragoza,E,Aragón,681430,41.65,-0.88,243
Oviedo,E,Asturias,217164,43.36,-5.84,232
Gijón,E,Asturias,269311,43.53,-5.7,14
Palma de Mallorca,E,Illes Balears,424837,39.57,2.65,13
Vitoria-Gasteiz,E,Euskadi,252953,42.85,-2.68,525
Bilbao,E,Euskadi,345749,43.26,-2.92,19
Barakaldo,E,Euskadi,100847,43.3,-2.99,39
Donostia,E,Euskadi,187892,43.32,-1.99,6
Santa Cruz de Tenerife,E,Canarias,208103,28.47,-16.25,4
San Cristóbal de La Laguna,E,Canarias,158117,28.48,-16.3,543
Las Palmas de Gran Canaria,E,Canarias,380667,28.15,-15.42,8
Telde,E,Canarias,103175,27.98,-15.42,130
Santander,E,Cantabria,172000,43.46,-3.8,15
Valladolid,E,Castilla y León,297370,41.63,-4.72,698
Burgos,E,Castilla y León,174154,42.35,-3.71,859
