city,country,province,localname
Athina,GR,Attikis,Αθήνα
Peiraias,GR,Attikis,Πειραιάς
Peristeri,GR,Attikis,Περιστέρι
Acharnes,GR,Attikis,Αχαρνές
Patra,GR,Dytikis Elladas,Πάτρα
Ioannina,GR,Ipeiroy,Ιωαννιτών
Thessaloniki,GR,Kentrikis Makedonias,Θεσσαλονίκη
Iraklio,GR,Kritis,Ηράκλειο
Chania,GR,Kritis,Χανίων
Rhodes,GR,Notioy Aigaioy,Ρόδου
Lamia,GR,Stereas Elladas,Λαμία
Chalkida,GR,Stereas Elladas,Χαλκιδέων
Larissa,GR,Thessalias,Λάρισα
Volos,GR,Thessalias,Βόλος
Nicosia,CY,Cyprus,Λευκωσία
Larnaka,CY,Cyprus,Λάρνακα
Lemesos,CY,Cyprus,Λεμεσός
Skopje,MK,North Macedonia,Град Скопје
Kumanovo,MK,North Macedonia,Град Куманово
Beograd,SRB,Serbia,Београд
Novi Sad,SRB,Serbia,Нови Сад
Kragujevac,SRB,Serbia,Крагујевац
Niš,SRB,Serbia,Ниш
Brest,BY,Brest,Брест
Baranavichy,BY,Brest,Бара́навічы
Pinsk,BY,Brest,Пі́нск
Vitebsk,BY,Vitebsk,Витебск
Orsha,BY,Vitebsk,О́рша
Novopolotsk,BY,Vitebsk,Наваполацк
Gomel,BY,Gomel,Гомель
Mazyr,BY,Gomel,Мазыр
Grodno,BY,Grodno,Гродно
Mahiljou,BY,Mahiljou,Могилев
Bobruysk,BY,Mahiljou,Бобруйск
Barysaw,BY,Minsk,Барысаў
Minsk,BY,Minsk City,Мінск
Cerkasy,UA,Cerkaska,Черкаси
Cernihiv,UA,Cernihivska,Чернігів
Cernivci,UA,Cernivecka,Чернівці
Charkiv,UA,Charkivska,Харків
Cherson,UA,Chersonska,Херсон
Chmelnytskyi,UA,Chmelnytska,Хмельницький
Dnipro,UA,Dnipropetrovska,Дніпро
Kryvyi Rih,UA,Dnipropetrovska,Кривий Ріг
Kamianske,UA,Dnipropetrovska,Кам'янське
Nikopol,UA,Dnipropetrovska,Нікополь
Pavlohrad,UA,Dnipropetrovska,Павлоград
Donetsk,UA,Donetska,Донецьк
Mariupol,UA,Donetska,Маріуполь
Makiïvka,UA,Donetska,Макіївка
Horlivka,UA,Donetska,Горлівка
Kramatorsk,UA,Donetska,Краматорськ
Sloviansk,UA,Donetska,Слов'я́нськ
Ivano-Frankivsk,UA,Ivano-Frankivska,Івано-Франківськ
Bila Tserkva,UA,Kyïvska,Біла Церква
Brovary,UA,Kyïvska,Бровари
Kropywnyzkyj,UA,Kirovohradska,Кропивницький
Luhansk,UA,Luhanska,Луганськ
Sievierodonetsk,UA,Luhanska,Сєвєродонецьк
Lysychansk,UA,Luhanska,Лисичанськ
Alchevsk,UA,Luhanska,Алчéвськ
Lviv,UA,Lvivska,Львів
Mykolaïv,UA,Mykolaïvska,Миколаїв
Odesa,UA,Odeska,Одеса
Poltava,UA,Poltavska,Полтава
Kremenchuk,UA,Poltavska,Кременчук
Rivne,UA,Rivnenska,Рівне
