country,name,percentage
AL,Albanian,97
AL,Greek,0.9
AL,Macedonian,0.9
AL,Roma,0.3
AL,Aromanian,0.3
GR,Greek,91
GR,Albanian,4.4
GR,Roma,2
GR,Macedonian,1.5
GR,Turkish,1
GR,Aromanian,0.4
CY,Greek Cypriots,58.2
CY,Turkish,13
CY,Turkish Cypriots,11
CY,Greek,2.8
CY,British,2.5
CY,Romanian,2.2
CY,Bulgarian,1.8
CY,Filipino,1.2
AD,Greek Cypriots,60
AD,British,40
MK,Macedonian,64.2
MK,Albanian,25.2
MK,Turkish,3.9
MK,Roma,2.7
MK,Serb,1.8
MK,Bosniak,0.8
MK,Aromanian,0.5
SRB,Serb,83.3
SRB,Hungarian,3.5
SRB,Roma,2.1
SRB,Bosniak,2.0
SRB,Croat,0.8
SRB,Slovak,0.7
SRB,Aromanian,0.5
SRB,Montenegrin,0.5
SRB,Macedonian,0.3
SRB,Bulgarian,0.3
MNE,Montenegrin,45.3
MNE,Serb,29.2
MNE,Bosniak,12.0
MNE,Albanian,4.9
MNE,Croat,1.0
MNE,Roma,0.8
KOS,Albanian,92.9
KOS,Bosniak,1.6
KOS,Serb,1.5
KOS,Roma,1.4
KOS,Turk,1.1
AND,Andorran,48.8
AND,Spanish,25.1
AND,Portuguese,13
AND,French,4
AND,Arab,3
AND,African,3
F,French,75
F,Arab,7
F,Italian,5
F,West African,3.3
F,Asian,1.7
F,Portuguese,1.2
F,Berber,1
F,Turk,0.8
E,Spanish,86.4
E,Mestizo,5
E,Arab,3.5
E,Romanian,1.8
E,Roma,1.6
E,British,0.8
CZ,Czech,90
CZ,Moravian,5.0
CZ,Slovak,1.4
CZ,Polish,0.6
CZ,German,0.5
CZ,Roma,0.3
CZ,Hungarian,0.2
SK,Slovak,80.7
SK,Hungarian,8.5
SK,Roma,2
SK,Czech,0.6
SK,Ukrainian,0.6
SK,German,0.1
SK,Polish,0.1
D,German,82
D,Turk,2.5
D,Polish,2.5
D,Arab,1.5
D,Ukrainian,1.4
D,Italian,1.0
D,Romanian,1.0
D,Roma,1.0
D,Russian,1.0
D,Greek,0.5
D,Serb,0.5
D,Kurd,0.5
H,Hungarian,92
H,Roma,3.1
H,German,1.3
H,Slovak,0.3
H,Romanian,0.3
H,Croat,0.2
I,Italian,90.4
I,Sardinian,1.6
I,Romanian,1.4
I,Arab,1.0
I,Albanian,0.8
I,German,0.6
I,Chinese,0.5
I,Slovene,0.2
I,Roma,0.2
CH,German,65
CH,French,22
CH,Italian,8
CH,Romansch,1
FL,Alemannic,85.7
FL,Italian,3.5
FL,Portuguese,1.9
FL,Turk,1.3
FL,Albanian,1.1
A,Austrian,85
A,Turk,4.5
A,Serb,4.0
A,German,2.6
A,Croat,2.0
A,Romanian,1.2
A,Slovene,0.5
A,Arab,0.2
EST,Estonian,68.7
EST,Russian,24.8
EST,Ukrainian,1.7
EST,Belorussian,1.0
EST,Finn,0.6
EST,Latvian,0.2
LV,Latvian,62.2
LV,Russian,25.2
LV,Belorussian,3.2
LV,Ukrainian,2.2
LV,Polish,2.1
LV,Lithuanian,1.2
LT,Lithuanian,84.1
LT,Polish,6.6
LT,Russian,5.8
LT,Belorussian,1.2
LT,Ukrainian,0.5
BY,Belorussian,83.7
BY,Russian,8.3
BY,Polish,3.1
BY,Ukrainian,1.7
BY,Tatar,0.2
PL,Polish,98
PL,German,0.2
PL,Ukrainian,0.1
UA,Ukrainian,77.8
UA,Russian,17.3
UA,Belorussian,0.6
UA,Moldovan,0.5
UA,Crimean Tatar,0.5
UA,Bulgarian,0.4
UA,Hungarian,0.3
UA,Romanian,0.3
UA,Polish,0.3
UA,Jewish,0.2
R,Russian,80.9
R,Tatar,3.9
R,Ukrainian,1.4
R,Bashkir,1.15
R,Chuvash,1.05
R,Chechen,1.04
R,Armenian,0.86
R,Avars,0.66
R,Mongol,0.6
R,Mordvin,0.54
R,Circassian,0.5
R,Kazakh,0.47
R,Azerbaijani,0.44
R,Dargin,0.43
R,Yakut,0.4
R,Udmurt,0.4
R,Ossetian,0.38
R,Mari,0.35
R,Lezgian,0.34
R,Ingush,0.32
R,Buryat,0.3
R,German,0.29
R,Komi,0.26
R,Uzbek,0.21
R,Tajik,0.15
R,Kalmyk,0.12
R,Khanty,0.02
B,French,58
B,Dutch,31
B,Italian,4.1
B,Arab,3.7
B,Turkish,2
B,Romanian,0.8
B,Polish,0.8
L,Luxembourgish,51.1
L,Portuguese,15.7
L,French,10
L,Italian,3.6
L,German,2.1
L,Spanish,1.1
NL,Dutch,76.9
NL,Arab,2.5
NL,Indonesian,2.1
NL,Surinamese,2
NL,German,2.0
NL,Turk,2.0
NL,Berber,1.0
NL,Polish,1
NL,Caribbean,0.9
NL,Kurd,0.4
SLO,Slovene,91.1
SLO,Serb,2
SLO,Croat,1.8
SLO,Bosniak,1.6
SLO,Hungarian,0.3
SLO,Albanian,0.3
SLO,Roma,0.2
SLO,Italian,0.1
HR,Croat,90.4
HR,Serb,4.4
HR,Bosniak,0.7
HR,Italian,0.4
HR,Albanian,0.4
HR,Roma,0.4
HR,Hungarian,0.3
HR,Slovene,0.3
BIH,Bosniak,50.1
BIH,Serb,30.8
BIH,Croat,15.4
BG,Bulgarian,84.8
BG,Turkish,9
BG,Roma,4.9
BG,Russian,0.1
BG,Armenian,0.1
RO,Romanian,88.9
RO,Hungarian,6.1
RO,Roma,3.1
RO,Ukrainian,0.3
RO,German,0.2
RO,Turkish,0.2
RO,Russian,0.2
RO,Crimean Tatar,0.1
RO,Aromanian,0.1
DK,Danish,86.3
DK,Arab,2.2
DK,Turkish,1.1
DK,German,1
IS,Icelander,81
IS,Polish,6
IS,Danish,1.2
FO,Faroese,87.6
FO,Danish,7.8
IRL,Irish,82.2
IRL,Polish,2.8
IRL,British,2.2
IRL,Asian,2.1
IRL,African,1.4
IRL,Lithuanian,0.75
IRL,Romanian,0.6
IRL,Latvian,0.4
SF,Finn,87.6
SF,Swedish,5.2
SF,Russian,1.4
SF,Estonian,0.9
SF,Arab,0.5
SF,Somali,0.4
SF,English,0.4
SF,Sami,0.4
N,Norwegian,82.0
N,Polish,2
N,Sami,1.2
S,Swedish,80.9
S,Arab,3.5
S,Finnish,1.4
S,Polish,0.9
MC,French,26
MC,Monegasque,22.5
MC,Italian,22
MC,British,7.5
MC,German,4.0
MC,Russian,2.0
MC,Greek,1.1
V,Italian,80
V,Swiss,10
V,German,0.2
V,Argentinian,0.1
CEU,Spanish,50
CEU,Arab,30
CEU,Berber,15
MEL,Spanish,46
MEL,Berber,40
MEL,Arab,10
RSM,Italian,99
M,Maltese,90
M,Italian,3
M,British,2
M,Arab,1
GBM,English,50
GBM,Manx,15
GBM,Irish,10
GBM,Scot,5
GBM,Welsh,5
MD,Romanian,78.1
MD,Ukrainian,7.5
MD,Russian,7
MD,Gagauz,4.2
MD,Bulgarian,1.9
MD,Roma,0.3
P,Portuguese,96
P,African,1
P,Ukrainian,0.5
P,Romanian,0.4
P,Indian,0.3
SVA,Norwegian,58
SVA,Russian,16
GB,English,72.2
GB,Scot,7.5
GB,Welsh,4.3
GB,African,3
GB,Northern Irish,2.5
GB,Indian,2.3
GB,Pakistani,1.9
GB,Bangladeshi,0.7
GB,Chinese,0.7
GBZ,Spanish,28
GBZ,British,27
GBZ,Italian,15
GBZ,Portuguese,15
GBZ,Maltese,8
GBZ,Arab,1.6
GBG,Norman-French,52
GBG,British,23.7
GBG,Portuguese,2.1
GBG,Latvian,1.5
GBJ,Norman-French,46.4
GBJ,British,32.7
GBJ,Portuguese,8.2
GBJ,Polish,3.3
ARM,Armenian,98.1
ARM,Yazidi,1.2
ARM,Russian,0.4
GE,Georgian,86.8
GE,Azerbaijani,6.3
GE,Armenian,4.5
GE,Abkhaz,2.5
GE,Ossetian,1.5
GE,Russian,0.7
GE,Yazidi,0.3
GE,Kurd,0.1
AZ,Azerbaijani,91.6
AZ,Lezgian,2.0
AZ,Armenian,1.4
AZ,Russian,1.3
TR,Turkish,71.4
TR,Kurd,19
TR,Arab,1
TR,Circassian,1
TR,Albanian,0.6
TR,Crimean Tatar,0.5
TR,Armenian,0.2
TR,Bosniak,0.1
RL,Arab,95
RL,Armenian,4
WB,Arab,83
WB,Jewish,17
GAZA,Arab,99.4
GAZA,Jewish,0.6
IL,Jewish,74.4
IL,Arab,20.9
SYR,Arab,80
SYR,Kurd,10
SYR,Turkoman,4
SYR,Assyrian,3
SYR,Circassian,1
SYR,Armenian,1
JOR,Arab,97.4
JOR,Circassian,0.5
JOR,Armenian,0.5
SA,Arab,85
SA,Indian,8
SA,Mahra,2.5
BRN,Arab,36.7
BRN,Indian,20
BRN,Persian,14
BRN,Bengali,8
BRN,Pakistani,4
Q,Arab,28
Q,Indian,25
Q,Bengali,12.1
Q,Filipino,10
Q,Egypt,8.6
Q,Sinhalese,5
Q,Pakistani,4.8
Q,Persian,1.5
UAE,Indian,38.2
UAE,Arab,21.8
UAE,Bengali,9.5
UAE,Persian,8
UAE,Filipino,6.1
UAE,Punjabi,6
UAE,Pashtun,5
UAE,Sindhi,3
OM,Arab,58
OM,Indian,9
OM,Mahra,3
OM,Shehri,2.5
OM,Bengali,2
OM,Pakistani,1.5
YE,Arab,88
YE,Afro-Arab,10
YE,Soqotri,0.3
YE,Mahra,0.2
KWT,Arab,57.6
KWT,Persian,16
KWT,Indian,10
IRQ,Arab,70
IRQ,Kurd,15
IRQ,Turkoman,10
IRQ,Afro-Arab,3
IRQ,Yazidi,0.5
IRQ,Assyrian,0.5
IRQ,Lur,0.2
IR,Persian,61
IR,Azerbaijani,16
IR,Kurd,10
IR,Lur,6
IR,Baloch,2
IR,Arab,2
IR,Qashqai,1.2
IR,Turkmen,1
IR,Hazara,0.7
IR,Armenian,0.3
AFG,Pashtun,42
AFG,Tajik,27
AFG,Hazara,11
AFG,Uzbek,9
AFG,Turkmen,3
AFG,Baloch,2
AFG,Pamiri,0.5
TM,Turkmen,85.6
TM,Uzbek,5.8
TM,Russian,5.1
TM,Azerbaijani,1.2
TM,Baloch,0.8
TM,Kazakh,0.4
UZ,Uzbek,83.8
UZ,Tajik,4.8
UZ,Kazakh,2.5
UZ,Russian,2.3
UZ,Karakalpak,2.2
UZ,Tatar,0.6
UZ,Crimean Tatar,0.5
UZ,Uyghur,0.2
TJ,Tajik,82.7
TJ,Uzbek,13.8
TJ,Pamiri,1.5
TJ,Kyrgyz,0.8
TJ,Russian,0.5
TJ,Turkmen,0.2
TJ,Tatar,0.1
TJ,Arab,0.1
KG,Kyrgyz,73.3
KG,Uzbek,14.6
