lake,country,province
Inarijärvi,SF,Lappia
Oulujärvi,SF,Kainuu
Saimaa,SF,Etelä-Karjala
Saimaa,SF,Etelä-Savo
Päijänne,SF,Päijät-Häme
Päijänne,SF,Keski-Suomi
Mjoesa-See,N,Hedmark
Mjoesa-See,N,Oppland
Storuman,S,Västerbotten
Siljan,S,Dalarna
Mälaren,S,Södermanland
Mälaren,S,Stockholm
Mälaren,S,Uppsala
Mälaren,S,Västmanland
Vänern,S,Västra Götaland
Vänern,S,Värmland
Vättern,S,Västra Götaland
Vättern,S,Jönköping
Vättern,S,Örebro
Vättern,S,Östergötland
Arresø,DK,Hovedstaden
Lough Neagh,GB,Northern Ireland
Loch Ness,GB,Scotland
Loch Lomond,GB,Scotland
Bodensee,D,Baden-Württemberg
Bodensee,D,Bayern
Bodensee,CH,Sankt Gallen
Bodensee,CH,Thurgau
Bodensee,A,Vorarlberg
Chiemsee,D,Bayern
Starnberger See,D,Bayern
Ammersee,D,Bayern
Laacher Maar,D,Rheinland-Pfalz
Lac Leman,F,Auvergne-Rhône-Alpes
Lac Leman,CH,Genève
Lac Leman,CH,Valais
Lac Leman,CH,Vaud
Lac de Serre-Ponçon,F,Provence-Alpes-Côte d'Azur
Zürichsee,CH,Glarus
Zürichsee,CH,Schwyz
Zürichsee,CH,Zürich
Thunersee,CH,Bern
Brienzersee,CH,Bern
Lac de Neuchâtel,CH,Bern
Lac de Neuchâtel,CH,Fribourg
Lac de Neuchâtel,CH,Neuchâtel
Lac de Neuchâtel,CH,Vaud
Bielersee,CH,Bern
Bielersee,CH,Neuchâtel
Vierwaldstättersee,CH,Luzern
Vierwaldstättersee,CH,Nidwalden
Vierwaldstättersee,CH,Obwalden
Vierwaldstättersee,CH,Schwyz
Vierwaldstättersee,CH,Uri
Lago Maggiore,I,Piemonte
Lago Maggiore,I,Lombardia
Lago Maggiore,CH,Ticino
Lago di Lugano,I,Piemonte
Lago di Lugano,I,Lombardia
Lago di Lugano,CH,Ticino
Lago di Como,I,Lombardia
Lago di Garda,I,Lombardia
Lago di Garda,I,Veneto
Lago Trasimeno,I,Toscana
Lago Trasimeno,I,Umbria
Lago di Bolsena,I,Lazio
Lago di Bracciano,I,Lazio
Lago Albano,I,Lazio
Lago Omodeo,I,Sardegna
Laguna de Gallocanta,E,Aragón
Neusiedlersee,H,Győr-Moson-Sopron
Neusiedlersee,A,Burgenland
Balaton,H,Fejér
Balaton,H,Somogy
Balaton,H,Veszprém
Balaton,H,Zala
Orava Reservoir,SK,Žilinský
Lake Skutari,AL,Albania
Lake Skutari,MNE,Montenegro
Lake Prespa,AL,Albania
Lake Prespa,GR,Dytikis Makedonias
Lake Prespa,MK,North Macedonia
Lake Ohrid,AL,Albania
Lake Ohrid,MK,North Macedonia
Kiev Reservoir,UA,Cernihivska
Kiev Reservoir,UA,Kyïvska
Kakhovka Reservoir,UA,Chersonska
Kakhovka Reservoir,UA,Dnipropetrovska
Kakhovka Reservoir,UA,Zaporizka
Kremenchuk Reservoir,UA,Cerkaska
Kremenchuk Reservoir,UA,Kirovohradska
Kremenchuk Reservoir,UA,Poltavska
Rybinsk Reservoir,R,Vologodskaya
Rybinsk Reservoir,R,Tverskaya
Rybinsk Reservoir,R,Yaroslavskaya
Kuybyshev Reservoir,R,Tatarstan
Kuybyshev Reservoir,R,Samarskaya
Kuybyshev Reservoir,R,Ulyanovskaya
Kama Reservoir,R,Permskij
Lower Kama Reservoir,R,Kaliningradskaya
Lower Kama Reservoir,R,Tatarstan
Lower Kama Reservoir,R,Udmurtskaya
Lower Kama Reservoir,R,Permskij
Ozero Ladoga,R,Karelia
Ozero Ladoga,R,Leningradskaya
Ozero Onega,R,Karelia
Ozero Onega,R,Vologodskaya
Ozero Onega,R,Leningradskaya
Wygozero,R,Karelia
Ozero Pskovskoje,EST,Estonia
Ozero Pskovskoje,R,Pskovskaya
Novosibirsk Reservoir,R,Altay
Novosibirsk Reservoir,R,Novosibirskaya
Ozero Keta,R,Krasnoyarsk
Ozero Khantayskoye,R,Krasnoyarsk
Ozero Taimyr,R,Krasnoyarsk
Ozero Baikal,R,Buryatiya
Ozero Baikal,R,Irkutskaya
Ozero Chanka,R,Primorskiy
Ozero Chanka,CN,Heilongjiang
Koltsevoye Lake,R,Sakhalin
Dead Sea,WB,West Bank
Dead Sea,IL,HaDarom
Dead Sea,JOR,Jordan
Lake Genezareth,IL,HaZafon
Lake Genezareth,SYR,Al Qunaytirah
Lake Assad,SYR,Ar Raqqah
Lake Assad,SYR,Halab
Lake Van,TR,Bitlis
Lake Van,TR,Van
Tuz Gölü,TR,Aksaray
Tuz Gölü,TR,Ankara
Tuz Gölü,TR,Konya
Nemrut Gölü,TR,Bitlis
Lake Keban,TR,Elazığ
Lake Keban,TR,Erzincan
Lake Keban,TR,Tunceli
Atatürk Baraj Gölü,TR,Adıyaman
Atatürk Baraj Gölü,TR,Şanlıurfa
Lake Sevan,ARM,Armenia
Lake Urmia,IR,West Azarbayejan
Lake Urmia,IR,East Azarbayejan
Daryacheh ye Namak,IR,Esfahan
Daryacheh ye Namak,IR,Semnan
Daryacheh ye Namak,IR,Qom
Lake Hamun,IR,Sistan and Baluchestan
Caspian Sea,R,Kalmykiya
Caspian Sea,R,Astrakhanskaya
Caspian Sea,R,Dagestan
Caspian Sea,AZ,Azerbaijan
Caspian Sea,IR,Gilan
Caspian Sea,IR,Mazandaran
Caspian Sea,IR,Golestan
Caspian Sea,TM,Balkan
Caspian Sea,KZ,Atyrau
Caspian Sea,KZ,Mangistau
Garabogazköl,TM,Balkan
North Aral Sea,KZ,Kyzylorda
South Aral Sea,UZ,Qoraqalpogʻiston
South Aral Sea,KZ,Kyzylorda
Bukhtarma Reservoir,KZ,East-Kazakhstan
Kapshagay Dam,KZ,Almaty
Ozero Balchash,KZ,Almaty
Ozero Balchash,KZ,Karaganda
Ozero Balchash,KZ,Zhambyl
Issyk-Kul,KG,Kyrgyzstan
Koli Sarez,TJ,Gorno-Badakhshan
Karakul,TJ,Gorno-Badakhshan
Lop Nor,CN,Xinjiang
Aydingkol,CN,Xinjiang
Uws Nuur,MNG,Mongolia
Chöwsgöl Nuur,MNG,Mongolia
Hulun Nur,CN,Nei Mongol
Qinghai Lake,CN,Qinghai
Nam Co,CN,Xizang
Manasarovar,CN,Xizang
Rakshastal,CN,Xizang
Hongze Hu,CN,Jiangsu
Tai Hu,CN,Jiangsu
Tai Hu,CN,Zhejiang
Poyang Hu,CN,Jiangxi
Xiluodu,CN,Sichuan
Xiluodu,CN,Yunnan
Three Gorges Reservoir,CN,Hubei
Three Gorges Reservoir,CN,Chongqing
Dongting Hu,CN,Hunan
