river,country,province
Thjorsa,IS,Iceland
Jökulsa a Fjöllum,IS,Iceland
Thames,GB,South West England
Severn,GB,Wales
Avon,GB,South West England
Test,GB,South East England
Great Ouse,GB,South East England
Trent,GB,West Midlands
Ouse,GB,Yorkshire and the Humber
Aire,GB,Yorkshire and the Humber
Clyde,GB,Scotland
Leven,GB,Scotland
Ness,GB,Scotland
Bann,GB,Northern Ireland
Shannon,IRL,Ulster
Gudenå,DK,Syddanmark
Glomma,N,Sør-Trøndelag
Lågen,N,Oppland
Götaälv,S,Västra Götaland
Motala Ström,S,Östergötland
Klarälv,N,Hedmark
Dalälv,S,Dalarna
Västerdalälv,S,Dalarna
Österdalälv,S,Dalarna
Umeälv,S,Västerbotten
Paatsjoki,SF,Lappia
Torneälv,N,Nordland
Ounasjoki,SF,Lappia
Kemijoki,SF,Lappia
Oulujoki,SF,Kainuu
Kymijoki,SF,Päijät-Häme
Kokemäenjoki,SF,Pirkanmaa
Vuoksi,SF,Etelä-Karjala
Memel,BY,Minsk
Neris,BY,Vitebsk
Weichsel,PL,Śląskie
Narew,BY,Grodno
Western Bug,UA,Lvivska
Dunajec,PL,Małopolskie
San,UA,Zakarpatska
Poprad,SK,Prešovský
Oder,CZ,Olomoucký
Neiße,CZ,Liberecký
Warta,PL,Lubuskie
Elbe,CZ,Liberecký
Havel,D,Mecklenburg-Vorpommern
Spree,D,Sachsen
Saale,D,Bayern
Weiße Elster,CZ,Karlovarský
Mulde,D,Sachsen
Eger,D,Bayern
Moldau,CZ,Jihočeský
Berounka,D,Bayern
Weser,D,Niedersachsen
Aller,D,Sachsen-Anhalt
Oker,D,Niedersachsen
Leine,D,Thüringen
Werra,D,Thüringen
Fulda,D,Hessen
Ems,D,Nordrhein-Westfalen
Hase,D,Niedersachsen
Rhein,CH,Graubünden
Lippe,D,Nordrhein-Westfalen
Emscher,D,Nordrhein-Westfalen
Ruhr,D,Nordrhein-Westfalen
Wupper,D,Nordrhein-Westfalen
Sieg,D,Nordrhein-Westfalen
Lahn,D,Nordrhein-Westfalen
Main,D,Bayern
Regnitz,D,Bayern
Rednitz,D,Bayern
Pegnitz,D,Bayern
Nidda,D,Hessen
Mosel,F,Grand Est
Sauer,B,Luxembourg
Alzette,F,Grand Est
Saar,F,Grand Est
Meurthe,F,Grand Est
Neckar,D,Baden-Württemberg
Enz,D,Baden-Württemberg
Ill,F,Grand Est
Elz,D,Baden-Württemberg
Birs,CH,Bern
Aare,CH,Bern
Saane,CH,Valais
Zihl,CH,Bern
Zihl,CH,Neuchâtel
Orbe,F,Bourgogne-Franche-Comté
Reuss,CH,Uri
Limmat,CH,Zürich
Thur,CH,Sankt Gallen
Bregenzer Ach,A,Vorarlberg
Hinterrhein,CH,Graubünden
Maas,F,Grand Est
Rur,B,Liège
Schelde,F,Hauts-de-France
Somme,F,Hauts-de-France
Seine,F,Bourgogne-Franche-Comté
Marne,F,Grand Est
Vilaine,F,Pays de la Loire
Loire,F,Auvergne-Rhône-Alpes
Maine,F,Pays de la Loire
Sarthe,F,Normandie
Mayenne,F,Normandie
Vienne,F,Nouvelle-Aquitaine
Cher,F,Nouvelle-Aquitaine
Allier,F,Occitanie
Garonne,E,Catalunya
Rhone,CH,Valais
Saone,F,Grand Est
Doubs,F,Bourgogne-Franche-Comté
Isere,F,Auvergne-Rhône-Alpes
Durance,F,Provence-Alpes-Côte d'Azur
Mino,E,Galicia
Douro,E,Castilla y León
Mondego,P,Guarda
Tejo,E,Castilla-La Mancha
Jarama,E,Castilla-La Mancha
Sado,P,Beja
Guadiana,E,Castilla-La Mancha
Guadalquivir,E,Andalucía
Genil,E,Andalucía
Segura,E,Andalucía
Júcar,E,Castilla-La Mancha
Turia,E,Aragón
Ebro,E,Castilla y León
Segre,F,Occitanie
Valira,AND,Andorra
Po,I,Piemonte
Tresa,I,Lombardia
Tresa,CH,Ticino
Ticino,CH,Ticino
Moesa,CH,Graubünden
Lambro,I,Lombardia
Dora Baltea,I,Valle d'Aosta
Tanaro,I,Piemonte
Tanaro,I,Liguria
Adda,I,Lombardia
Mera,CH,Graubünden
Mincio,I,Veneto
Etsch,I,Trentino-Alto Adige
Tevere,I,Umbria
Marta,I,Lazio
Arrone,I,Lazio
Arno,I,Toscana
Imera Meridionale,I,Sicilia
Tirso,I,Sardegna
Donau,D,Baden-Württemberg
Breg,D,Baden-Württemberg
Brigach,D,Baden-Württemberg
Iller,A,Vorarlberg
Lech,A,Vorarlberg
Isar,A,Tirol
Ammer,D,Bayern
Würm,D,Bayern
Inn,CH,Graubünden
Ilz,D,Bayern
Regen,CZ,Plzeňský
Naab,D,Bayern
Alz,D,Bayern
Salzach,A,Salzburg
Enns,A,Salzburg
March,CZ,Pardubický
Thaya,A,Niederösterreich
Svratka,CZ,Vysočina
Jihlava,CZ,Vysočina
Raab,A,Steiermark
Waag,SK,Žilinský
Orava,SK,Žilinský
Czarna Orava,PL,Małopolskie
Biela Orava,SK,Žilinský
Nitra,SK,Trenčiansky
Hron,SK,Banskobystrický
Drau,I,Trentino-Alto Adige
Gail,A,Tirol
Mur,A,Salzburg
Tisza,UA,Cernivecka
Somes,RO,Bihor
Sajó,SK,Banskobystrický
Hernad,SK,Košický
Torysa,SK,Prešovský
Mureș,RO,Harghita
Argeș,RO,Argeş
Dâmbovița,RO,Argeş
Ialomița,RO,Argeş
Save,SLO,Slovenia
Bosna,BIH,Federacija Bosne i Hercegovine
Drina,BIH,Republika Srpska
Tara,MNE,Montenegro
Piva,MNE,Montenegro
Morava,SRB,Serbia
Southern Morava,MK,North Macedonia
Zapadna Morava,SRB,Serbia
Ibar,SRB,Serbia
Iskar,BG,Bulgaria
Ossam,BG,Bulgaria
Timiş,RO,Caraş-Severin
Jiu,RO,Hunedoara
Olt,RO,Harghita
Siret,UA,Cernivecka
Pruth,UA,Ivano-Frankivska
Moraca,MNE,Montenegro
Neretva,BIH,Republika Srpska
Buna,AL,Albania
Drin,AL,Albania
White Drin,KOS,Kosovo
Black Drin,MK,North Macedonia
Vjosa,GR,Ipeiroy
Acheloos,GR,Thessalias
Aliakmonas,GR,Dytikis Makedonias
Vardar,MK,North Macedonia
Struma,BG,Bulgaria
Maritsa,BG,Bulgaria
Tundzha,BG,Bulgaria
Nachal HaKishon,IL,HaZafon
Nachal Sorek,WB,West Bank
Nachal HaBesor,IL,HaDarom
Jordan,RL,Lebanon
Litani,RL,Lebanon
Orontes,RL,Lebanon
Seyhan,TR,Kayseri
Sakarya,TR,Afyonkarahisar
Kızılırmak,TR,Sivas
Rioni,GE,Georgia
Terek,GE,Georgia
Samur,R,Dagestan
Kura,TR,Ardahan
Aras,TR,Iğdır
Hrazdan,ARM,Armenia
Schatt al Arab,IRQ,Basrah
Tigris,TR,Diyarbakır
Euphrat,TR,Malatya
Murat,TR,Ağrı
Karasu,TR,Erzurum
Karun,IR,Esfahan
Sefid-Rud,IR,Kurdestan
Atrek,IR,Khorasan-e-Razavi
Helmand,AFG,Afghanistan
Northern Dwina,R,Vologodskaya
Suchona,R,Vologodskaya
Vychegda,R,Komi
Pechora,R,Komi
Newa,R,Leningradskaya
Swir,R,Leningradskaya
Wyg,R,Karelia
Narva,R,Leningradskaya
Daugava,R,Smolenskaya
Dnister,UA,Lvivska
SouthernBug,UA,Chmelnytska
Inhul,UA,Kirovohradska
Dnepr,R,Smolenskaya
Berezina,BY,Vitebsk
Sozh,R,Smolenskaya
Svislach,BY,Minsk
Prypjat,UA,Volynska
Styr,UA,Volynska
Teteriv,UA,Zytomyrska
Desna,R,Smolenskaya
Seym,R,Kurskaya
Psel,R,Smolenskaya
Vorskla,R,Belgorodskaya
Inhulets,UA,Kirovohradska
Kalmius,UA,Donetska
Don,R,Tulskaya
Donets,R,Belgorodskaya
Manych,R,Belgorodskaya
East Manych,R,Belgorodskaya
Oskol,R,Kurskaya
Kuban,R,Karachayevo-Cherkesskaya
Volga,R,Tverskaya
Oka,R,Orlovskaya
Moskva,R,Smolenskaya
Kama,R,Udmurtskaya
Vyatka,R,Udmurtskaya
Chusovaya,R,Chelyabinskaya
Belaya,R,Kaliningradskaya
Ural,R,Bashkortostan
Emba,KZ,Aktobe
Ob,R,Altayskiy
Irtysh,KZ,East-Kazakhstan
Tobol,R,Orenburgskaya
Tura,R,Sverdlovskaya
Tagil,R,Sverdlovskaya
Isset,R,Sverdlovskaya
Miass,R,Bashkortostan
Ishim,KZ,Karaganda
Katun,R,Altay
Chulym,R,Khakasiya
Tom,R,Khakasiya
Yenissey,R,Tyva
Little Yenissey,MNG,Mongolia
Nizhnyaya Tunguska,R,Irkutskaya
Chantaika,R,Krasnoyarsk
Angara,R,Buryatiya
Selenge,MNG,Mongolia
Egiin Gol,MNG,Mongolia
Orchon,MNG,Mongolia
Tuul,MNG,Mongolia
Pyasina,R,Krasnoyarsk
Taimyra,R,Krasnoyarsk
Chatanga,R,Krasnoyarsk
Olenyok,R,Krasnoyarsk
Lena,R,Irkutskaya
Vilyuy,R,Krasnoyarsk
Aldan,R,Sakha
Vitim,R,Buryatiya
Indigirka,R,Sakha
Kolyma,R,Magadanskaya
Anadyr,R,Chukotka
Kamchatka,R,Kamchatka
