country,organization,type
ET,AfDB,regional member
LAR,AfDB,regional member
TN,AfDB,regional member
DZ,AfDB,regional member
MA,AfDB,regional member
RMM,AfDB,regional member
RIM,AfDB,regional member
SN,AfDB,regional member
WAG,AfDB,regional member
GUB,AfDB,regional member
RG,AfDB,regional member
SLE,AfDB,regional member
LB,AfDB,regional member
BF,AfDB,regional member
CI,AfDB,regional member
GH,AfDB,regional member
RT,AfDB,regional member
BEN,AfDB,regional member
NGR,AfDB,regional member
RN,AfDB,regional member
TCH,AfDB,regional member
SUD,AfDB,regional member
RCA,AfDB,regional member
CAM,AfDB,regional member
GQ,AfDB,regional member
G,AfDB,regional member
RCB,AfDB,regional member
CGO,AfDB,regional member
ANG,AfDB,regional member
NAM,AfDB,regional member
RB,AfDB,regional member
RSA,AfDB,regional member
LS,AfDB,regional member
SD,AfDB,regional member
MOC,AfDB,regional member
ZW,AfDB,regional member
Z,AfDB,regional member
MW,AfDB,regional member
EAT,AfDB,regional member
BI,AfDB,regional member
RWA,AfDB,regional member
EAU,AfDB,regional member
EAK,AfDB,regional member
SO,AfDB,regional member
DJI,AfDB,regional member
ETH,AfDB,regional member
ER,AfDB,regional member
CV,AfDB,regional member
STP,AfDB,regional member
SY,AfDB,regional member
COM,AfDB,regional member
RM,AfDB,regional member
MS,AfDB,regional member
F,AfDB,nonregional member
E,AfDB,nonregional member
D,AfDB,nonregional member
I,AfDB,nonregional member
CH,AfDB,nonregional member
A,AfDB,nonregional member
B,AfDB,nonregional member
NL,AfDB,nonregional member
DK,AfDB,nonregional member
SF,AfDB,nonregional member
N,AfDB,nonregional member
S,AfDB,nonregional member
P,AfDB,nonregional member
GB,AfDB,nonregional member
SA,AfDB,nonregional member
UAE,AfDB,nonregional member
KWT,AfDB,nonregional member
IND,AfDB,nonregional member
CN,AfDB,nonregional member
ROK,AfDB,nonregional member
J,AfDB,nonregional member
CDN,AfDB,nonregional member
USA,AfDB,nonregional member
RA,AfDB,nonregional member
BR,AfDB,nonregional member
ET,AU,member
LAR,AU,member
TN,AU,member
DZ,AU,member
WSA,AU,member
RMM,AU,member
RIM,AU,member
SN,AU,member
WAG,AU,member
GUB,AU,member
RG,AU,member
SLE,AU,member
LB,AU,member
BF,AU,member
CI,AU,member
GH,AU,member
RT,AU,member
BEN,AU,member
NGR,AU,member
RN,AU,member
TCH,AU,member
SUD,AU,member
SSD,AU,member
RCA,AU,member
CAM,AU,member
GQ,AU,member
G,AU,member
RCB,AU,member
CGO,AU,member
ANG,AU,member
NAM,AU,member
RB,AU,member
RSA,AU,member
LS,AU,member
SD,AU,member
MOC,AU,member
ZW,AU,member
Z,AU,member
MW,AU,member
EAT,AU,member
BI,AU,member
RWA,AU,member
EAU,AU,member
EAK,AU,member
SO,AU,member
DJI,AU,member
ETH,AU,member
ER,AU,member
CV,AU,member
STP,AU,member
SY,AU,member
COM,AU,member
RM,AU,member
MS,AU,member
D,UNAMID,member
TR,UNAMID,member
JOR,UNAMID,member
YE,UNAMID,member
IR,UNAMID,member
TJ,UNAMID,member
KG,UNAMID,member
MNG,UNAMID,member
PK,UNAMID,member
NEP,UNAMID,member
BD,UNAMID,member
CN,UNAMID,member
ROK,UNAMID,member
K,UNAMID,member
THA,UNAMID,member
MAL,UNAMID,member
RI,UNAMID,member
PAL,UNAMID,member
ET,UNAMID,member
TN,UNAMID,member
RMM,UNAMID,member
SN,UNAMID,member
WAG,UNAMID,member
SLE,UNAMID,member
BF,UNAMID,member
CI,UNAMID,member
GH,UNAMID,member
RT,UNAMID,member
BEN,UNAMID,member
NGR,UNAMID,member
CAM,UNAMID,member
NAM,UNAMID,member
RSA,UNAMID,member
LS,UNAMID,member
ZW,UNAMID,member
Z,UNAMID,member
MW,UNAMID,member
EAT,UNAMID,member
BI,UNAMID,member
RWA,UNAMID,member
EAU,UNAMID,member
EAK,UNAMID,member
DJI,UNAMID,member
ETH,UNAMID,member
EC,UNAMID,member
PE,UNAMID,member
BOL,UNAMID,member
TL,ACP,member
PNG,ACP,member
SOL,ACP,member
VU,ACP,member
PAL,ACP,member
FSM,ACP,member
MH,ACP,member
NAU,ACP,member
KIR,ACP,member
TUV,ACP,member
WS,ACP,member
FJI,ACP,member
TO,ACP,member
NU,ACP,member
CK,ACP,member
RMM,ACP,member
RIM,ACP,member
SN,ACP,member
WAG,ACP,member
GUB,ACP,member
RG,ACP,member
SLE,ACP,member
LB,ACP,member
BF,ACP,member
CI,ACP,member
GH,ACP,member
RT,ACP,member
BEN,ACP,member
NGR,ACP,member
RN,ACP,member
TCH,ACP,member
SUD,ACP,member
RCA,ACP,member
CAM,ACP,member
GQ,ACP,member
G,ACP,member
RCB,ACP,member
CGO,ACP,member
ANG,ACP,member
NAM,ACP,member
RB,ACP,member
RSA,ACP,member
LS,ACP,member
SD,ACP,member
MOC,ACP,member
ZW,ACP,member
Z,ACP,member
MW,ACP,member
EAT,ACP,member
BI,ACP,member
RWA,ACP,member
EAU,ACP,member
EAK,ACP,member
SO,ACP,member
DJI,ACP,member
ETH,ACP,member
ER,ACP,member
CV,ACP,member
STP,ACP,member
SY,ACP,member
COM,ACP,member
RM,ACP,member
MS,ACP,member
BZ,ACP,member
BS,ACP,member
C,ACP,member
JA,ACP,member
RH,ACP,member
DOM,ACP,member
KN,ACP,member
AG,ACP,member
WD,ACP,member
WL,ACP,member
BDS,ACP,member
WV,ACP,member
WG,ACP,member
TT,ACP,member
GUY,ACP,member
SME,ACP,member
MEX,OPANAL,member
BZ,OPANAL,member
GCA,OPANAL,member
ES,OPANAL,member
HN,OPANAL,member
NIC,OPANAL,member
CR,OPANAL,member
PA,OPANAL,member
BS,OPANAL,member
C,OPANAL,member
JA,OPANAL,member
RH,OPANAL,member
DOM,OPANAL,member
KN,OPANAL,member
AG,OPANAL,member
WD,OPANAL,member
WL,OPANAL,member
BDS,OPANAL,member
WV,OPANAL,member
WG,OPANAL,member
TT,OPANAL,member
YV,OPANAL,member
GUY,OPANAL,member
SME,OPANAL,member
CO,OPANAL,member
EC,OPANAL,member
PE,OPANAL,member
BOL,OPANAL,member
RCH,OPANAL,member
RA,OPANAL,member
PY,OPANAL,member
ROU,OPANAL,member
BR,OPANAL,member
MV,AOSIS,member
SGP,AOSIS,member
TL,AOSIS,member
PNG,AOSIS,member
SOL,AOSIS,member
VU,AOSIS,member
PAL,AOSIS,member
FSM,AOSIS,member
MH,AOSIS,member
NAU,AOSIS,member
KIR,AOSIS,member
TUV,AOSIS,member
WS,AOSIS,member
FJI,AOSIS,member
TO,AOSIS,member
NU,AOSIS,member
CK,AOSIS,member
GUB,AOSIS,member
CV,AOSIS,member
STP,AOSIS,member
SY,AOSIS,member
COM,AOSIS,member
MS,AOSIS,member
BZ,AOSIS,member
BS,AOSIS,member
C,AOSIS,member
JA,AOSIS,member
RH,AOSIS,member
DOM,AOSIS,member
KN,AOSIS,member
AG,AOSIS,member
WD,AOSIS,member
WL,AOSIS,member
BDS,AOSIS,member
WV,AOSIS,member
WG,AOSIS,member
TT,AOSIS,member
GUY,AOSIS,member
SME,AOSIS,member
GU,AOSIS,observer
AS,AOSIS,observer
PR,AOSIS,observer
VIRG,AOSIS,observer
SX,AOSIS,observer
CUR,AOSIS,observer
ARU,AOSIS,observer
CO,CAN,member
EC,CAN,member
PE,CAN,member
BOL,CAN,member
RCH,CAN,associate member
RA,CAN,associate member
PY,CAN,associate member
ROU,CAN,associate member
BR,CAN,associate member
E,CAN,observer
RL,ABEDA,member
SYR,ABEDA,member
JOR,ABEDA,member
SA,ABEDA,member
BRN,ABEDA,member
Q,ABEDA,member
UAE,ABEDA,member
OM,ABEDA,member
KWT,ABEDA,member
IRQ,ABEDA,member
ET,ABEDA,member
LAR,ABEDA,member
TN,ABEDA,member
DZ,ABEDA,member
MA,ABEDA,member
RIM,ABEDA,member
SUD,ABEDA,member
RL,AFESD,member
SYR,AFESD,member
JOR,AFESD,member
SA,AFESD,member
BRN,AFESD,member
Q,AFESD,member
UAE,AFESD,member
OM,AFESD,member
YE,AFESD,member
KWT,AFESD,member
IRQ,AFESD,member
ET,AFESD,member
LAR,AFESD,member
TN,AFESD,member
DZ,AFESD,member
MA,AFESD,member
RIM,AFESD,member
SUD,AFESD,member
SO,AFESD,member
DJI,AFESD,member
LAR,AMU,member
TN,AMU,member
DZ,AMU,member
MA,AMU,member
RIM,AMU,member
RL,AMF,member
SYR,AMF,member
JOR,AMF,member
SA,AMF,member
BRN,AMF,member
Q,AMF,member
UAE,AMF,member
OM,AMF,member
YE,AMF,member
KWT,AMF,member
IRQ,AMF,member
ET,AMF,member
LAR,AMF,member
TN,AMF,member
DZ,AMF,member
MA,AMF,member
RIM,AMF,member
SUD,AMF,member
SO,AMF,member
DJI,AMF,member
COM,AMF,member
R,ARF,member
MNG,ARF,member
PK,ARF,member
IND,ARF,member
BD,ARF,member
MYA,ARF,member
CL,ARF,member
CN,ARF,member
KP,ARF,member
ROK,ARF,member
J,ARF,member
RP,ARF,member
VN,ARF,member
K,ARF,member
LAO,ARF,member
THA,ARF,member
MAL,ARF,member
BRU,ARF,member
SGP,ARF,member
RI,ARF,member
TL,ARF,member
PNG,ARF,member
AUS,ARF,member
NZ,ARF,member
CDN,ARF,member
USA,ARF,member
R,APEC,member
CN,APEC,member
RC,APEC,member
HK,APEC,member
ROK,APEC,member
J,APEC,member
RP,APEC,member
VN,APEC,member
THA,APEC,member
MAL,APEC,member
BRU,APEC,member
SGP,APEC,member
RI,APEC,member
PNG,APEC,member
AUS,APEC,member
NZ,APEC,member
CDN,APEC,member
USA,APEC,member
MEX,APEC,member
PE,APEC,member
RCH,APEC,member
ARM,ADB,member
GE,ADB,member
AZ,ADB,member
AFG,ADB,member
TM,ADB,member
UZ,ADB,member
TJ,ADB,member
KG,ADB,member
KZ,ADB,member
MNG,ADB,member
MV,ADB,member
PK,ADB,member
IND,ADB,member
NEP,ADB,member
BHT,ADB,member
BD,ADB,member
MYA,ADB,member
CL,ADB,member
CN,ADB,member
RC,ADB,member
HK,ADB,member
ROK,ADB,member
J,ADB,member
RP,ADB,member
VN,ADB,member
K,ADB,member
LAO,ADB,member
THA,ADB,member
MAL,ADB,member
BRU,ADB,member
SGP,ADB,member
RI,ADB,member
TL,ADB,member
PNG,ADB,member
SOL,ADB,member
VU,ADB,member
AUS,ADB,member
NZ,ADB,member
PAL,ADB,member
FSM,ADB,member
MH,ADB,member
NAU,ADB,member
KIR,ADB,member
TUV,ADB,member
WS,ADB,member
FJI,ADB,member
TO,ADB,member
CK,ADB,member
F,ADB,nonregional member
E,ADB,nonregional member
D,ADB,nonregional member
I,ADB,nonregional member
CH,ADB,nonregional member
A,ADB,nonregional member
B,ADB,nonregional member
L,ADB,nonregional member
NL,ADB,nonregional member
DK,ADB,nonregional member
IRL,ADB,nonregional member
SF,ADB,nonregional member
N,ADB,nonregional member
S,ADB,nonregional member
P,ADB,nonregional member
GB,ADB,nonregional member
TR,ADB,nonregional member
CDN,ADB,nonregional member
USA,ADB,nonregional member
MYA,ASEAN,member
RP,ASEAN,member
VN,ASEAN,member
K,ASEAN,member
LAO,ASEAN,member
THA,ASEAN,member
MAL,ASEAN,member
BRU,ASEAN,member
SGP,ASEAN,member
RI,ASEAN,member
R,ASEAN,dialogue partner
IND,ASEAN,dialogue partner
CN,ASEAN,dialogue partner
ROK,ASEAN,dialogue partner
J,ASEAN,dialogue partner
AUS,ASEAN,dialogue partner
NZ,ASEAN,dialogue partner
CDN,ASEAN,dialogue partner
