name,superlanguage
Indo-European,
Celtic,Indo-European
Irish,Celtic
Scottish Gaelic,Celtic
Welsh,Celtic
Breton,Celtic
Germanic,Indo-European
North Germanic,Germanic
Icelandic,North Germanic
Faroese,North Germanic
Norwegian,North Germanic
Swedish,North Germanic
Danish,North Germanic
West Germanic,Germanic
Scots,West Germanic
English,West Germanic
English Creole,English
Bahamian Creole,English Creole
Turks and Caicos Creole,English Creole
Belize Creole,English Creole
Miskito Coast Creole,English Creole
Jamaican Patois,English Creole
St. Kitts Creole English,English Creole
Antiguan Creole,English Creole
Bajan,English Creole
Vincentian Creole,English Creole
Grenadian Creole English,English Creole
Trinidadian Creole,English Creole
Tobagonian Creole,English Creole
Guyanese Creole,English Creole
Sranantongo,English Creole
Saramaccan,English Creole
Ndyuka,English Creole
Krio,English Creole
Mauritian Creole,English Creole
Pitcairn Creole,English Creole
Pitkern,English Creole
Norfuk,English Creole
Bislama,English Creole
Tok Pisin,English Creole
Solomon Pijin,English Creole
Frisian,West Germanic
Dutch,West Germanic
Afrikaans,Dutch
German,West Germanic
Alsatian,German
Luxembourgish,German
Letzeburgisch,German
Yiddish,German
Romance,Indo-European
Latin,Romance
Portuguese,Romance
Portuguese Creole,Portuguese
Papiamento,Portuguese Creole
Krioulo,Portuguese Creole
Guinea-Bissau Creole,Portuguese Creole
Forro,Portuguese Creole
Annobonese,Portuguese Creole
Galician,Romance
Spanish,Romance
Castilian,Romance
Llanito,Spanish
Catalan,Romance
Occitan,Romance
French,Romance
French Creole,French
Haitian Creole,French Creole
Antillean Creole,French Creole
French Guianese Creole,French Creole
Seychellois Creole,French Creole
Reunion Creole,French Creole
Rhaeto-Romance,Romance
Romansh,Rhaeto-Romance
Ladin,Rhaeto-Romance
Friulian,Rhaeto-Romance
Sardu,Romance
Sardinian,Romance
Italian,Romance
Corsu,Italian
Romanian,Romance
Aromanian,Romance
Balto-Slavic,Indo-European
Baltic,Balto-Slavic
Latvian,Baltic
Lithuanian,Baltic
Slavic,Balto-Slavic
West Slavic,Slavic
Czech,West Slavic
Slovak,West Slavic
Polish,West Slavic
South Slavic,Slavic
Slovenian,South Slavic
Serbo-Croatian,South Slavic
Macedonian,South Slavic
Bulgarian,South Slavic
East Slavic,Slavic
Belorussian,East Slavic
Ukrainian,East Slavic
Russian,East Slavic
