city,province,country,island
Kerkyra,Ionion Nison,GR,Korfu
Iraklio,Kritis,GR,Crete
Chania,Kritis,GR,Crete
Ermoupoli,Notioy Aigaioy,GR,Syros
Rhodes,Notioy Aigaioy,GR,Rhodos
Chalkida,Stereas Elladas,GR,Euboea
Mytilini,Boreioy Aigaioy,GR,Lesbos
Nicosia,Cyprus,CY,Cyprus
Larnaka,Cyprus,CY,Cyprus
Lemesos,Cyprus,CY,Cyprus
Episkopi Cantonment,Akrotiri and Dhekelia,AD,Cyprus
Ajaccio,Corse,F,Corse
Palma de Mallorca,Illes Balears,E,Mallorca
Santa Cruz de Tenerife,Canarias,E,Teneriffa
San Cristóbal de La Laguna,Canarias,E,Teneriffa
Las Palmas de Gran Canaria,Canarias,E,Gran Canaria
Telde,Canarias,E,Gran Canaria
Palermo,Sicilia,I,Sicilia
Messina,Sicilia,I,Sicilia
Catánia,Sicilia,I,Sicilia
Siracusa,Sicilia,I,Sicilia
Cágliari,Sardegna,I,Sardegna
Sássari,Sardegna,I,Sardegna
Južno-Sachalinsk,Sakhalin,R,Sachalin
Odense,Syddanmark,DK,Fünen
Hillerød,Hovedstaden,DK,Seeland
Copenhagen,Hovedstaden,DK,Seeland
Helsingør,Hovedstaden,DK,Seeland
Ronne,Hovedstaden,DK,Bornholm
Sorø,Sjælland,DK,Seeland
Reykjavik,Iceland,IS,Iceland
Keflavik,Iceland,IS,Iceland
Akureyri,Iceland,IS,Iceland
Tórshavn,Faroe Islands,FO,Streymoy
Dublin,Leinster,IRL,Ireland
Cork,Munster,IRL,Ireland
Limerick,Munster,IRL,Ireland
Galway,Connacht,IRL,Ireland
Letterkenny,Ulster,IRL,Ireland
Valletta,Malta,M,Malta
Victoria,Malta,M,Gozo
Douglas,Isle of Man,GBM,Isle of Man
Ponta Delgada,Azores,P,Sao Miguel
Funchal,Madeira,P,Madeira
Longyearbyen,Svalbard,SVA,Svalbard
Newcastle upon Tyne,North East England,GB,Great Britain
Sunderland,North East England,GB,Great Britain
Gateshead,North East England,GB,Great Britain
Middlesbrough,North East England,GB,Great Britain
Manchester,North West England,GB,Great Britain
Sale,North West England,GB,Great Britain
Wigan,North West England,GB,Great Britain
Stockport,North West England,GB,Great Britain
Bolton,North West England,GB,Great Britain
Salford,North West England,GB,Great Britain
Oldham,North West England,GB,Great Britain
Rochdale,North West England,GB,Great Britain
Warrington,North West England,GB,Great Britain
Blackpool,North West England,GB,Great Britain
Blackburn,North West England,GB,Great Britain
Liverpool,North West England,GB,Great Britain
Birkenhead,North West England,GB,Great Britain
St Helens,North West England,GB,Great Britain
Preston,North West England,GB,Great Britain
Leeds,Yorkshire and the Humber,GB,Great Britain
Wakefield,Yorkshire and the Humber,GB,Great Britain
Bradford,Yorkshire and the Humber,GB,Great Britain
Huddersfield,Yorkshire and the Humber,GB,Great Britain
Sheffield,Yorkshire and the Humber,GB,Great Britain
Doncaster,Yorkshire and the Humber,GB,Great Britain
Rotherham,Yorkshire and the Humber,GB,Great Britain
York,Yorkshire and the Humber,GB,Great Britain
Kingston upon Hull,Yorkshire and the Humber,GB,Great Britain
Nottingham,East Midlands,GB,Great Britain
Northampton,East Midlands,GB,Great Britain
Leicester,East Midlands,GB,Great Britain
Derby,East Midlands,GB,Great Britain
Lincoln,East Midlands,GB,Great Britain
Birmingham,West Midlands,GB,Great Britain
Coventry,West Midlands,GB,Great Britain
Wolverhampton,West Midlands,GB,Great Britain
Solihull,West Midlands,GB,Great Britain
Stoke-on-Trent,West Midlands,GB,Great Britain
