name,mountains,elevation,type,coordinates
Gunnbjørn Fjeld,,3694,,"(68.92,-29.9)"
Newtontoppen,,1713,,"(79.0,17.3)"
Hvannadalshnukur,,2110,volcanic,"(64.1,-16.7)"
Snaefell,,1833,volcanic,"(64.5,-15.2)"
Hekla,,1491,volcano,"(64,-19.7)"
Katla,,1450,volcano,"(63.6,-19.0)"
Haltiatunturi,Scandinavian Mountains,1365,,"(69.3,21.27)"
Kebnekaise,Scandinavian Mountains,2099,,"(67.9,18.5)"
Sarektjokko,Scandinavian Mountains,2089,,"(67.43,17.71)"
Higravstinden,,1146,,"(68.36,14.79)"
Galdhoeppig,Scandinavian Mountains,2469,,"(61.64,8.31)"
Glittertind,Scandinavian Mountains,2465,,"(61.65,8.55)"
Snoehetta,Scandinavian Mountains,2286,,"(62.32,9.27)"
Ben Nevis,Grampians,1344,,"(56.8,-5.0)"
Snowdon,,1015,,"(53.08,-4.08)"
Sgùrr Alasdair,,993,,"(57.21,-6.22)"
Carrauntoohil,Armorican Highlands,1041,,"(52.00,-9.74)"
Slieve Donard,,849,,"(54.18,-5.92)"
Feldberg,Black Forest,1493,,"(47.87,8.00)"
Brocken,Harz,1141,,"(51.8,10.6)"
Grosser Arber,Bayrischer Wald,1456,,"(49.1,13)"
Zugspitze,Alps,2963,,"(47.42,10.99)"
Barre des Ecrins,Alps,4101,,"(44.92,6.36)"
Mont Ventoux,Alps,1912,,"(44.18,5.28)"
Gran Paradiso,Alps,4061,,"(45.5,7.25)"
Mont Blanc,Alps,4808,,"(45.83,6.86)"
Grand Combin,Alps,4314,,"(45.93,7.30)"
Matterhorn,Alps,4478,,"(45.98,7.66)"
Monte Rosa,Alps,4634,,"(45.93,7.87)"
Finsteraarhorn,Alps,4274,,"(46.5,8.1)"
Piz Bernina,Alps,4048,,"(46.4,9.9)"
Marmolata,Alps,3343,,"(46.4,11.85)"
Grossglockner,Alps,3797,,"(47.07,12.69)"
Hochgolling,Alps,2862,,"(47.3,13.75)"
Triglav,Alps,2864,,"(46.38,13.83)"
Grand Ballon,Vosges,1424,,"(47.90,7.10)"
Chasseral,Jura,1606,,"(47.23,7.06)"
Crêt de la Neige,Jura,1720,,"(46.17,5.94)"
Puy De Dome,Cevennes,1465,volcanic,"(45.52,2.81)"
Puy de Sancy,Cevennes,1885,volcanic,"(45.77,2.96)"
Hiru Erregeen Mahaia,Pyrenees,2424,,"(42.92,0.74)"
Vignemale,Pyrenees,3298,,"(42.8,0.15)"
Pico de Aneto,Pyrenees,3404,,"(42.6,0.65)"
Pica d'Estats,Pyrenees,3143,,"(42.67,1.39)"
