name,country,population,area,capital,capprov
Albania,AL,2821977,28750,Tirana,Albania
Anatolikis Makedonias kai Thrakis,GR,562069,14157,Komotini,Anatolikis Makedonias kai Thrakis
Attikis,GR,3792469,3808,Athina,Attikis
Dytikis Elladas,GR,643349,11350,Patra,Dytikis Elladas
Dytikis Makedonias,GR,255056,9451,Kozani,Dytikis Makedonias
Ionion Nison,GR,200726,2306,Kerkyra,Ionion Nison
Ipeiroy,GR,319543,9203,Ioannina,Ipeiroy
Kentrikis Makedonias,GR,1790290,18810,Thessaloniki,Kentrikis Makedonias
Kritis,GR,617360,8335,Iraklio,Kritis
Notioy Aigaioy,GR,324542,5285,Ermoupoli,Notioy Aigaioy
Peloponnisos,GR,538366,15489,Tripoli,Peloponnisos
Stereas Elladas,GR,505269,15549,Lamia,Stereas Elladas
Thessalias,GR,687527,14036,Larissa,Thessalias
Boreioy Aigaioy,GR,194136,3835,Mytilini,Boreioy Aigaioy
Aghion Oros,GR,1779,335,Karyes,Aghion Oros
Cyprus,CY,918100,9251,Nicosia,Cyprus
Akrotiri and Dhekelia,AD,18195,254,Episkopi Cantonment,Akrotiri and Dhekelia
North Macedonia,MK,1836713,25333,Skopje,North Macedonia
Serbia,SRB,6690887,77474,Beograd,Serbia
Montenegro,MNE,619211,14026,Podgorica,Montenegro
Kosovo,KOS,1733872,10887,Prishtine,Kosovo
Andorra,AND,79535,450,Andorra la Vella,Andorra
Île-de-France,F,12082144,12012,Paris,Île-de-France
Auvergne-Rhône-Alpes,F,7877698,69711,Lyon,Auvergne-Rhône-Alpes
Nouvelle-Aquitaine,F,5911482,84061,Bordeaux,Nouvelle-Aquitaine
Hauts-de-France,F,6009976,31813,Lille,Hauts-de-France
Provence-Alpes-Côte d'Azur,F,5007977,31399,Marseille,Provence-Alpes-Côte d'Azur
Bretagne,F,3293850,27207,Rennes,Bretagne
Centre-Val de Loire,F,2578592,39150,Orléans,Centre-Val de Loire
Pays de la Loire,F,3718512,32082,Nantes,Pays de la Loire
Grand Est,F,5559051,57433,Strasbourg,Grand Est
Normandie,F,3339131,29906,Rouen,Normandie
Bourgogne-Franche-Comté,F,2820940,47784,Dijon,Bourgogne-Franche-Comté
Occitanie,F,5774185,72724,Toulouse,Occitanie
Corse,F,327283,8679,Ajaccio,Corse
Andalucía,E,8484804,87585,Sevilla,Andalucía
Aragón,E,1331938,47721,Zaragoza,Aragón
Asturias,E,1012117,10603,Oviedo,Asturias
Illes Balears,E,1183415,4991,Palma de Mallorca,Illes Balears
Euskadi,E,2212628,7237,Vitoria-Gasteiz,Euskadi
