province,country,year,population
Anatolikis Makedonias kai Thrakis,GR,1991,570197
Anatolikis Makedonias kai Thrakis,GR,2001,607162
Anatolikis Makedonias kai Thrakis,GR,2011,608182
Anatolikis Makedonias kai Thrakis,GR,2021,562069
Attikis,GR,1991,3594817
Attikis,GR,2001,3894573
Attikis,GR,2011,3828434
Attikis,GR,2021,3792469
Dytikis Elladas,GR,1991,695044
Dytikis Elladas,GR,2001,721541
Dytikis Elladas,GR,2011,679796
Dytikis Elladas,GR,2021,643349
Dytikis Makedonias,GR,1991,288495
Dytikis Makedonias,GR,2001,294317
Dytikis Makedonias,GR,2011,283689
Dytikis Makedonias,GR,2021,255056
Ionion Nison,GR,1991,189338
Ionion Nison,GR,2001,209608
Ionion Nison,GR,2011,207855
Ionion Nison,GR,2021,200726
Ipeiroy,GR,1991,327176
Ipeiroy,GR,2001,336392
Ipeiroy,GR,2011,336856
Ipeiroy,GR,2021,319543
Kentrikis Makedonias,GR,1991,1706338
Kentrikis Makedonias,GR,2001,1874597
Kentrikis Makedonias,GR,2011,1880297
Kentrikis Makedonias,GR,2021,1790290
Kritis,GR,1991,536633
Kritis,GR,2001,594368
Kritis,GR,2011,623065
Kritis,GR,2021,617360
Notioy Aigaioy,GR,1991,255192
Notioy Aigaioy,GR,2001,298462
Notioy Aigaioy,GR,2011,309015
Notioy Aigaioy,GR,2021,324542
Peloponnisos,GR,1991,573958
Peloponnisos,GR,2001,597622
Peloponnisos,GR,2011,577903
Peloponnisos,GR,2021,538366
Stereas Elladas,GR,1991,548101
Stereas Elladas,GR,2001,558144
Stereas Elladas,GR,2011,547390
Stereas Elladas,GR,2021,505269
Thessalias,GR,1991,729268
Thessalias,GR,2001,740115
Thessalias,GR,2011,732762
Thessalias,GR,2021,687527
Boreioy Aigaioy,GR,1991,201363
Boreioy Aigaioy,GR,2001,205235
Boreioy Aigaioy,GR,2011,199231
Boreioy Aigaioy,GR,2021,194136
Aghion Oros,GR,1991,1415
Aghion Oros,GR,2001,1961
Aghion Oros,GR,2011,1811
Aghion Oros,GR,2021,1779
Île-de-France,F,1975,9878565
Île-de-France,F,1982,1007305
Île-de-France,F,1990,10660554
